VisitNum,FieldNum,StationNum,VisitType,VisitDate,VisitYear,StationLength,DataSource,Project,SampleType,GPSFileName,LatLongNum,CollDate,CollTime,CollTimeDup,Spacing,ChanCon,SampleID,Comments,VisitResult,VisitResultReason,AssessmentStatus,AssessmentStatusReason,Flow,QHEI,FHR,MSHA,FishSampleCrew,HabitatCrew,DateEntered,VisitNumOld,Source,TapeDown
19960031,96SC025,1607,fish,8/19/1996,1996,343,MPCA,EMAP,,,47,8/19/1996,1/0/1900,,27,NA,9627136,DO was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,8,,,,,23,,
19960032,96SC027,1610,fish,7/8/1996,1996,165,MPCA,EMAP,,,37,7/8/1996,1/0/1900,,11.5,OC,9620002,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,6,,,,,24,,
19960033,96SC029,1612,fish,8/14/1996,1996,488,MPCA,EMAP,,,73,8/14/1996,1/0/1900,,39,NA,9626218,Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,9,,,,,25,,
19960034,96SC032,1615,fish,7/24/1996,1996,500,MPCA,EMAP,,,49,7/24/1996,1/0/1900,,,NA,9622970,stage = 6.48,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,71,,,,,,26,,
19960035,96SC033,1616,fish,8/15/1996,1996,517,MPCA,EMAP,,,75,8/15/1996,1/0/1900,,39,NA,9626220,stage = 5.1.  Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,27,,
19960036,96SC034,1617,fish,7/18/1996,1996,292,MPCA,EMAP,,,46,7/18/1996,1/0/1900,,22,NA,9621433,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,9,,,,,28,,
19960037,96SC036,1619,fish,7/16/1996,1996,150,MPCA,EMAP,,,42,7/16/1996,1/0/1900,,11.5,NA,9621428,"time fished is an estimate, recently blown beaver dam on stream.  Air temperature was not measured.",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,8,,,,,29,,
19960038,96SC037,1620,fish,8/13/1996,1996,509,MPCA,EMAP,,,72,8/13/1996,1/0/1900,,38,NA,9626216,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,7,,,,,30,,
19960039,96SC037,1620,fish,8/27/1996,1996,497,MPCA,EMAP,,,72,8/27/1996,1/0/1900,,38,NA,9627961,,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,,,,,,,31,,
19960040,96SC038,1622,fish,9/12/1996,1996,245,MPCA,EMAP,,,13,9/12/1996,1/0/1900,,19,NA,9629358,"beaver impoundment makes last 30m of site unwadeable, distance fished < sta. length",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,10,,,,,32,,
19960041,96SC039,1623,fish,9/11/1996,1996,500,MPCA,EMAP,,,43,9/11/1996,1/0/1900,,,NA,9629356,"wetland habitat, naturally low D.O. and depauperate fish community, water chem. done 9-11-96, fish done 9-20-96.  Air temperature was not measured.",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,50,,,,,,33,,
19960042,96SC040,1624,fish,8/21/1996,1996,570,MPCA,EMAP,,,25,8/21/1996,1/0/1900,,38,NA,9627141,Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,9,,,,,34,,
19960043,96SC042,1625,fish,7/16/1996,1996,150,MPCA,EMAP,,,84,7/16/1996,1/0/1900,,11.5,NA,9621427,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,10,,,,,35,,
19960044,96SC043,1626,fish,9/4/1996,1996,507,MPCA,EMAP,,,32,9/4/1996,1/0/1900,,38,NA,9628522,Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,11,,,,,36,,
19960045,96SC044,1627,fish,7/17/1996,1996,142,MPCA,EMAP,,,44,7/17/1996,1/0/1900,,11.5,NA,9621431,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,9,,,,,37,,
19960046,96SC045,1628,fish,7/11/1996,1996,155,MPCA,EMAP,,,40,7/11/1996,1/0/1900,,11.5,OC,9620007,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,6,,,,,38,,
19960047,96SC046,1629,fish,8/20/1996,1996,504,MPCA,EMAP,,,78,8/20/1996,1/0/1900,,39,NA,9627138,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,39,,
19960048,96SC047,1630,fish,8/21/1996,1996,525,MPCA,EMAP,,,26,8/21/1996,1/0/1900,,38,NA,9627142,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,40,,
19960049,96SC048,1631,fish,8/22/1996,1996,525,MPCA,EMAP,,,27,8/22/1996,1/0/1900,,38,NA,9627143,Air temperature and turbidity were not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,41,,
19960050,96SC049,1632,fish,8/20/1996,1996,150,MPCA,EMAP,,,77,8/20/1996,1/0/1900,,11.5,NA,9627139,"dist. fished < sta. length due to beaver impoundment, too deep",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,9,,,,,42,,
19960051,96SC050,1633,fish,7/26/1996,1996,350,MPCA,EMAP,,,54,7/26/1996,1/0/1900,,27,OC,9622975,"Turbidity was not measured, stream width on Transect 06 not recorded.",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,3,,,,,43,,
19960052,96SC050,1633,fish,8/28/1996,1996,350,MPCA,EMAP,,,54,8/28/1996,1/0/1900,,27,OC,9627963,,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,,,,,,,44,,
19960054,96SC052,1636,fish,7/25/1996,1996,551,MPCA,EMAP,,,6,7/25/1996,1/0/1900,,38.5,NA,9622973,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,9,,,,,46,,
19960055,96SC053,1637,fish,7/25/1996,1996,500,MPCA,EMAP,,,51,7/25/1996,1/0/1900,,,NA,9622972,"pH meter not working, could use pH from site 96SC032S.  Air temperature was not measured.",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,67,,,,,,47,,
19960056,96SC054,1638,fish,7/18/1996,1996,155,MPCA,EMAP,,,45,7/18/1996,1/0/1900,,11.5,NA,9621432,Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,12,,,,,48,,
19960057,96SC055,1639,fish,9/24/1996,1996,150,MPCA,EMAP,,,19,9/24/1996,1/0/1900,,,OC,9630731,"wetland habitat, naturally low D.O. and depauperate fish community.  Air temperature and turbidity were not measured.",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,48,,,,,,49,,
19960058,96SC056,1640,fish,8/14/1996,1996,511,MPCA,EMAP,,,74,8/14/1996,1/0/1900,,39,NA,9626219,Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,11,,,,,50,,
19960059,96SC058,1642,fish,9/11/1996,1996,256,MPCA,EMAP,,,14,9/11/1996,1/0/1900,,19,NA,9629355,"Air temperature was not measured, stream width on Transect-02 was not recorded.",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,11,,,,,51,,
19960060,96SC061,1645,fish,7/9/1996,1996,173,MPCA,biocriteria,,,39,7/9/1996,1/0/1900,,13.5,NA,9620005,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,52,,
19960061,96SC062,1646,fish,7/16/1996,1996,140,MPCA,biocriteria,,,41,7/16/1996,1/0/1900,,11.5,NA,9621429,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,53,,
19960062,96SC063,1647,fish,7/24/1996,1996,150,MPCA,biocriteria,,,50,7/24/1996,1/0/1900,,11.5,NA,9622971,Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,54,,
19960063,96SC064,1648,fish,7/25/1996,1996,153,MPCA,biocriteria,,,52,7/25/1996,1/0/1900,,11.5,NA,9622974,"land use not recorded on transect 07, in exlcusion table.",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,55,,
19960064,96SC065,1649,fish,7/30/1996,1996,500,MPCA,biocriteria,,,57,7/30/1996,1/0/1900,,38,NA,9623499,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,56,,
19960065,96SC065,1649,fish,8/26/1996,1996,498,MPCA,biocriteria,,,57,8/26/1996,1/0/1900,,38,NA,9627958,,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,,,,,,,57,,
19960066,96SC066,1651,fish,7/31/1996,1996,165,MPCA,biocriteria,,,2,7/31/1996,1/0/1900,,11.5,NA,9624089,Stream width on transect 12 not recorded,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,58,,
19960067,96SC067,1652,fish,8/5/1996,1996,196,MPCA,biocriteria,,,21,8/5/1996,1/0/1900,,15.5,NA,9625284,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,59,,
19960068,96SC068,1653,fish,8/6/1996,1996,140,MPCA,biocriteria,,,63,8/6/1996,1/0/1900,,11.5,NA,9625285,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,60,,
19960069,96SC069,1654,fish,8/5/1996,1996,159,MPCA,biocriteria,,,60,8/5/1996,1/0/1900,,11.5,NA,9625292,wetland habitat,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,61,,
19960070,96SC070,1655,fish,8/5/1996,1996,285,MPCA,biocriteria,,,20,8/5/1996,1/0/1900,,21.5,NA,9625293,time fished is an estimate.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,10,,,,,62,,
19960071,96SC072,1656,fish,8/6/1996,1996,145,MPCA,biocriteria,,,62,8/6/1996,1/0/1900,,11.5,NA,9625294,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,63,,
19960072,96SC073,1657,fish,8/6/1996,1996,174,MPCA,biocriteria,,,64,8/6/1996,1/0/1900,,11.5,NA,9625295,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,64,,
19960073,96SC074,1658,fish,8/7/1996,1996,225,MPCA,biocriteria,,,7,8/7/1996,1/0/1900,,16.10000038,NA,9625287,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,65,,
19960074,96SC074,1658,fish,8/29/1996,1996,216,MPCA,biocriteria,,,7,8/29/1996,1/0/1900,,15,NA,9627966,Air temperature was not measured.,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,,,,,,,66,,
19960075,96SC075,1660,fish,8/7/1996,1996,152,MPCA,biocriteria,,,22,8/7/1996,1/0/1900,,11.5,NA,9625288,"site upstream of barrier falls, wetland habitat, naturally low D.O. and depauperate fish community",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,67,,
19960076,96SC076,1661,fish,8/7/1996,1996,160,MPCA,biocriteria,,,65,8/7/1996,1/0/1900,,11.5,OC,9625296,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,68,,
19960077,96SC077,1662,fish,8/7/1996,1996,194,MPCA,biocriteria,,,66,8/7/1996,1/0/1900,,15,NA,9625297,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,69,,
19960078,96SC078,1663,fish,8/7/1996,1996,162,MPCA,biocriteria,,,67,8/7/1996,1/0/1900,,11.5,NA,9625298,wetland habitat,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,70,,
19960079,96SC079,1664,fish,8/8/1996,1996,168,MPCA,biocriteria,,,23,8/8/1996,1/0/1900,,12.30000019,NA,9625289,Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,71,,
19960080,96SC080,1665,fish,8/8/1996,1996,151,MPCA,biocriteria,,,24,8/8/1996,1/0/1900,,11.5,NA,9625290,wetland habitat,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,72,,
19960081,96SC081,1666,fish,8/9/1996,1996,215,MPCA,biocriteria,,,71,8/9/1996,1/0/1900,,16.20000076,NA,9625291,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,73,,
19960082,96SC081,1666,fish,8/19/1996,1996,223,MPCA,biocriteria,,,71,8/19/1996,1/0/1900,,16,NA,9627137,,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,,,,,,,74,,
19960083,96SC082,1668,fish,8/8/1996,1996,349,MPCA,biocriteria,,,68,8/8/1996,1/0/1900,,27,NA,9625299,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,75,,
19960084,96SC083,1669,fish,8/8/1996,1996,193,MPCA,biocriteria,,,69,8/8/1996,1/0/1900,,13.5,NA,9625300,"land use not recorded on Transect 01, in exclusion table.",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,76,,
19960085,96SC084,1670,fish,8/9/1996,1996,223,MPCA,biocriteria,,,70,8/9/1996,1/0/1900,,16,NA,9625301,pH was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,9,,,,,77,,
19960086,96SC084,1670,fish,8/19/1996,1996,207,MPCA,biocriteria,,,70,8/19/1996,1/0/1900,,16,NA,9627135,Air temperature was not measured.,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,,10,,,,,78,,
19960087,96SC085,1672,fish,8/27/1996,1996,488,MPCA,biocriteria,,,28,8/27/1996,1/0/1900,,38,NA,9627962,time fished is an estimate,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,79,,
19960088,96SC086,1673,fish,8/28/1996,1996,348,MPCA,biocriteria,,,29,8/28/1996,1/0/1900,,27,NA,9627967,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,80,,
19960089,96SC087,1674,fish,8/29/1996,1996,518,MPCA,biocriteria,,,30,8/29/1996,1/0/1900,,38,NA,9627965,"land use not recorded on transect 12, in exclusion table.",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,81,,
19960090,96SC088,1675,fish,9/3/1996,1996,500,MPCA,biocriteria,,,17,9/3/1996,1/0/1900,,,NA,9628520,flow from USGS gage #05340500.  Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,65,,,,,,82,,
19960091,96SC088,1675,fish,9/18/1996,1996,500,MPCA,biocriteria,,,17,9/18/1996,1/0/1900,,,NA,9630075,flow from USGS gage #05340500,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,59.5,,,,,,83,,
19960092,96SC089,1677,fish,9/4/1996,1996,500,MPCA,biocriteria,,,88,9/4/1996,1/0/1900,,,NA,9628523,flow from USGS gage #05333500,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,69,,,,,,84,,
19960093,96SC089,1677,fish,9/17/1996,1996,500,MPCA,biocriteria,,,88,9/17/1996,1/0/1900,,,NA,9629927,flow from USGS gage #05333500,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,73.5,,,,,,85,,
19960094,96SC090,1679,fish,9/5/1996,1996,531,MPCA,biocriteria,,,89,9/5/1996,1/0/1900,,38.5,NA,9628524,Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,86,,
19960095,96SC091,1680,fish,9/6/1996,1996,500,MPCA,biocriteria,,,33,9/6/1996,1/0/1900,,,NA,9628689,flow from USGS gage #05340500.  Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,62.5,,,,,,87,,
19960096,96SC092,1681,fish,9/10/1996,1996,154,MPCA,biocriteria,,,12,9/10/1996,1/0/1900,,11.69999981,NA,9629001,stream width and land use on transect 04 was not recorded,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,88,,
19960097,96SC094,1682,fish,9/12/1996,1996,500,MPCA,biocriteria,,,15,9/12/1996,1/0/1900,,,NA,9629357,flow from USGS gage #05340500.  Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,69,,,,,,89,,
19960098,96SC095,1683,fish,9/16/1996,1996,500,MPCA,biocriteria,,,3,9/16/1996,1/0/1900,,,NA,9629926,flow from USGS gage # 05340500,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,71,,,,,,90,,
19960099,96SC095,1683,fish,9/23/1996,1996,500,MPCA,biocriteria,,,3,9/23/1996,1/0/1900,,,NA,9630554,flow from USGS gage #05340500.  Air temperature and turbidity were not measured.,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,67.5,,,,,,91,,
19960100,96SC096,1685,fish,9/17/1996,1996,500,MPCA,biocriteria,,,90,9/17/1996,1/0/1900,,,NA,9629928,flow from USGS gage #05333500.  DO was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,64.5,,,,,,92,,
19960101,96SC097,1686,fish,9/18/1996,1996,240,MPCA,biocriteria,,,16,9/18/1996,1/0/1900,,18.5,NA,9630074,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,93,,
19960102,96SC028,1611,fish,8/2/1996,1996,500,MPCA,EMAP,,,59,8/2/1996,1/0/1900,,,NA,9624333,Two channels.  Turbidity was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,65,,,,,,94,,
19960103,96SC030,1613,fish,9/19/1996,1996,499,MPCA,EMAP,,,4,9/19/1996,1/0/1900,,38.29999924,NA,9630219,"Two channels, for 305b assess. purposes visit lat/long used is WI. Channel (main), not Kettle Slough channel (EMAP)",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,95,,
19960104,96SC002,1583,bugs,8/27/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1381,,
19960105,96SC003,1584,bugs,8/27/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1382,,
19960106,96SC006,1587,bugs,9/4/1996,1996,,MPCA,EMAP,,,,,,,,NA,,flow was near bank full but sampleable.  Color Wheel - 200,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1383,,
19960108,96SC010,1591,bugs,9/3/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1385,,
19960109,96SC011,1592,bugs,8/22/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1386,,
19960110,96SC012,1593,bugs,9/3/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1387,,
19960111,96SC013,1594,bugs,8/27/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1388,,
19960112,96SC013,1594,bugs,9/17/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1389,,
19960113,96SC015,1597,bugs,9/11/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1390,,
19960114,96SC015,1597,bugs,9/23/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1391,,
19960115,96SC018,1600,bugs,9/9/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1392,,
19960116,96SC019,1601,bugs,9/9/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1393,,
19960117,96SC021,1603,bugs,9/4/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1394,,
19960118,96SC021,1603,bugs,9/18/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1395,,
19960119,96SC022,1604,bugs,8/26/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1396,,
19960120,96SC023,1605,bugs,9/16/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1397,,
19960121,96SC024,1606,bugs,9/17/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1398,,
19960122,96SC025,1607,bugs,9/16/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1399,,
19960123,96SC026,1609,bugs,8/27/1996,1996,,MPCA,EMAP,,,,,,,,NA,,ChanCon by GIS,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1400,,
19960124,96SC027,1610,bugs,8/21/1996,1996,,MPCA,EMAP,,,,,,,,OC,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1401,,
19960125,96SC029,1612,bugs,9/10/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1402,,
19960126,96SC030,1613,bugs,9/19/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1403,,
19960127,96SC033,1616,bugs,8/29/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1404,,
19960128,96SC033,1616,bugs,9/10/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1405,,
19960129,96SC034,1617,bugs,8/29/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1406,,
19960130,96SC034,1617,bugs,9/11/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1407,,
19960131,96SC037,1620,bugs,9/9/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1408,,
19960132,96SC038,1622,bugs,9/2/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1409,,
19960133,96SC040,1624,bugs,8/28/1996,1996,,MPCA,EMAP,,,,,,,,NA,,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,2/23/2001,1410,,
