FishSampleID_IDNR,FishSpeciesCode_IDNR,TaxonSortID,Common_Name,CountOfIndividuals,GearRun_IDNR
1553,COS,54,central stoneroller,198,1ES
1553,SUM,56,suckermouth minnow,2,1ES
1553,RDS,72,redfin shiner,1,1ES
1553,RES,79,red shiner,10,1ES
1553,BLS,82,bluntnose minnow,26,1ES
1553,SJM,89,silverjaw minnow,11,1ES
1553,SAS,95,sand shiner,22,1ES
1553,WHS,111,white sucker,14,1ES
1553,YEB,125,yellow bullhead,5,1ES
1553,BLT,143,blackstripe topminnow,2,1ES
1553,GSF,170,green sunfish,2,1ES
1553,BLG,173,bluegill,1,1ES
1553,LOS,176,longear sunfish,17,1ES
1553,LOP,187,logperch,2,1ES
1553,JOD,191,johnny darter,7,1ES
1553,ORD,199,orangethroat darter,23,1ES
1560,SHG,12,shortnose gar,1,1BE
1560,SHG,12,shortnose gar,4,2BE
1560,GZS,20,gizzard shad,40,1BE
1560,GZS,20,gizzard shad,44,2BE
1560,CAP,46,common carp,3,1BE
1560,COS,54,central stoneroller,3,2BE
1560,SUM,56,suckermouth minnow,12,2BE
1560,RES,79,red shiner,29,1BE
1560,RES,79,red shiner,19,1SH
1560,RES,79,red shiner,29,2BE
1560,BLS,82,bluntnose minnow,3,1BE
1560,BLS,82,bluntnose minnow,2,1SH
1560,BLS,82,bluntnose minnow,8,2BE
1560,BUM,83,bullhead minnow,8,1BE
1560,BUM,83,bullhead minnow,10,2BE
1560,SJM,89,silverjaw minnow,1,1BE
1560,BMS,91,bigmouth shiner,1,1BE
1560,BMS,91,bigmouth shiner,1,2BE
1560,SAS,95,sand shiner,3,1BE
1560,SAS,95,sand shiner,4,2BE
1560,BGB,104,bigmouth buffalo,1,1BE
1560,BGB,104,bigmouth buffalo,1,2BE
1560,SAB,105,smallmouth buffalo,12,1BE
1560,SAB,105,smallmouth buffalo,18,2BE
1560,BKB,106,black buffalo,2,2BE
1560,ULL,107,quillback,1,1BE
1560,ULL,107,quillback,2,2BE
1560,RVC,108,river carpsucker,9,1BE
1560,RVC,108,river carpsucker,13,2BE
1560,SHR,119,shorthead redhorse,12,1BE
1560,SHR,119,shorthead redhorse,3,2BE
1560,GOR,121,golden redhorse,6,1BE
1560,GOR,121,golden redhorse,3,2BE
1560,CCF,123,channel catfish,5,1BE
1560,CCF,123,channel catfish,9,2BE
1560,FCF,128,flathead catfish,1,1BE
1560,FCF,128,flathead catfish,3,2BE
1560,FRM,131,freckled madtom,1,1BE
1560,FRM,131,freckled madtom,3,1SH
1560,FRM,131,freckled madtom,10,2BE
1560,BRS,146,brook silverside,1,1BE
1560,BRS,146,brook silverside,2,1SH
1560,WHB,158,white bass,1,2BE
1560,WHC,164,white crappie,1,1BE
1560,LMB,166,largemouth bass,1,1BE
1560,GSF,170,green sunfish,1,1BE
1560,LOS,176,longear sunfish,8,1BE
1560,LOS,176,longear sunfish,2,2BE
1560,SAR,179,sauger,3,1BE
1560,SAR,179,sauger,3,2BE
1560,SHD,186,slenderhead darter,1,1SH
1560,SHD,186,slenderhead darter,6,2BE
1560,LOP,187,logperch,2,2BE
1560,MUD,198,mud darter,3,1SH
1560,MUD,198,mud darter,1,2BE
1560,FRD,207,freshwater drum,53,1BE
1560,FRD,207,freshwater drum,16,2BE
1561,GZS,20,gizzard shad,31,1BE
1561,GZS,20,gizzard shad,1,2BE
1561,GRP,39,grass pickerel,12,1BE
1561,GRP,39,grass pickerel,5,1SH
1561,GRP,39,grass pickerel,2,2BE
1561,CAP,46,common carp,23,1BE
1561,CAP,46,common carp,6,2BE
1561,RES,79,red shiner,9,1BE
1561,RES,79,red shiner,5,1SH
1561,RES,79,red shiner,2,2BE
1561,BLS,82,bluntnose minnow,7,1SH
1561,BLS,82,bluntnose minnow,1,2BE
1561,BUM,83,bullhead minnow,1,1BE
1561,BUM,83,bullhead minnow,10,1SH
1561,SAS,95,sand shiner,2,1BE
1561,SAS,95,sand shiner,3,1SH
1561,SAB,105,smallmouth buffalo,1,1BE
1561,ULL,107,quillback,2,1BE
1561,ULL,107,quillback,1,2BE
1561,SHR,119,shorthead redhorse,3,1BE
1561,SHR,119,shorthead redhorse,1,2BE
1561,FRM,131,freckled madtom,1,1BE
1561,BLT,143,blackstripe topminnow,3,1BE
1561,BLT,143,blackstripe topminnow,7,1SH
1561,BLC,163,black crappie,1,1SH
1561,BLC,163,black crappie,3,2BE
1561,WHC,164,white crappie,14,1BE
1561,WHC,164,white crappie,2,2BE
1561,LMB,166,largemouth bass,11,1BE
1561,LMB,166,largemouth bass,1,1SH
1561,GSF,170,green sunfish,1,1BE
1561,GSF,170,green sunfish,6,2BE
1561,BLG,173,bluegill,11,1BE
1561,BLG,173,bluegill,5,1SH
1561,BLG,173,bluegill,3,2BE
1561,LOS,176,longear sunfish,43,1BE
1561,LOS,176,longear sunfish,4,1SH
1561,LOS,176,longear sunfish,5,2BE
1561,WAE,178,walleye,1,1BE
1561,LOP,187,logperch,1,1BE
1561,MUD,198,mud darter,1,1SH
1561,FRD,207,freshwater drum,11,1BE
1561,FRD,207,freshwater drum,1,1SH
1561,FRD,207,freshwater drum,6,2BE
1565,SHG,12,shortnose gar,1,1BE
1565,SHG,12,shortnose gar,1,2BE
1565,GZS,20,gizzard shad,4,1BE
1565,GZS,20,gizzard shad,1,2BE
1565,CAP,46,common carp,3,1BE
1565,CAP,46,common carp,1,2BE
1565,RES,79,red shiner,4,2BE
1565,BUM,83,bullhead minnow,1,1BE
1565,BUM,83,bullhead minnow,5,2BE
1565,SAB,105,smallmouth buffalo,1,1BE
1565,BKB,106,black buffalo,1,1BE
1565,RVC,108,river carpsucker,1,2BE
1565,SHR,119,shorthead redhorse,2,1BE
1565,CCF,123,channel catfish,2,1BE
1565,BCF,124,blue catfish,2,1BE
1565,FCF,128,flathead catfish,6,1BE
1565,FCF,128,flathead catfish,4,2BE
1565,BRS,146,brook silverside,1,2BE
1565,LMB,166,largemouth bass,1,2BE
1565,GSF,170,green sunfish,5,1BE
1565,GSF,170,green sunfish,3,2BE
1565,BLG,173,bluegill,3,1BE
1565,BLG,173,bluegill,13,2BE
1565,FRD,207,freshwater drum,12,1BE
1565,FRD,207,freshwater drum,3,2BE
1568,SAS,95,sand shiner,1,1SH
1568,SAS,95,sand shiner,1,2BE
1568,SAB,105,smallmouth buffalo,8,1BE
1568,SAB,105,smallmouth buffalo,12,2BE
1568,ULL,107,quillback,1,1BE
1568,ULL,107,quillback,2,2BE
1568,RVC,108,river carpsucker,4,1BE
1568,RVC,108,river carpsucker,7,2BE
1568,HFC,109,highfin carpsucker,1,1BE
1568,HFC,109,highfin carpsucker,1,2BE
1568,SHR,119,shorthead redhorse,14,1BE
1568,SHR,119,shorthead redhorse,6,2BE
1568,GOR,121,golden redhorse,2,1BE
1568,GOR,121,golden redhorse,1,2BE
1568,CCF,123,channel catfish,8,1BE
1568,CCF,123,channel catfish,9,2BE
1568,FCF,128,flathead catfish,2,1BE
1568,FCF,128,flathead catfish,1,1SH
1568,FCF,128,flathead catfish,3,2BE
1568,FRM,131,freckled madtom,1,1BE
1568,FRM,131,freckled madtom,1,1SH
1568,FRM,131,freckled madtom,3,2BE
1568,BRS,146,brook silverside,1,1BE
1568,BRS,146,brook silverside,2,2BE
1568,LMB,166,largemouth bass,1,2BE
1568,SMB,168,smallmouth bass,2,2BE
1568,GSF,170,green sunfish,1,1BE
1568,GSF,170,green sunfish,1,2BE
1568,BLG,173,bluegill,3,1BE
1568,BLG,173,bluegill,5,2BE
1568,LOS,176,longear sunfish,3,1BE
1568,LOS,176,longear sunfish,4,2BE
1568,SAR,179,sauger,1,1BE
1568,BLD,181,blackside darter,1,1BE
1568,SHD,186,slenderhead darter,10,1BE
1568,SHD,186,slenderhead darter,25,1SH
1568,SHD,186,slenderhead darter,9,2BE
1568,LOP,187,logperch,1,1BE
1568,LOP,187,logperch,1,2BE
1568,MUD,198,mud darter,1,1SH
1568,FRD,207,freshwater drum,37,1BE
1568,FRD,207,freshwater drum,24,2BE
1568,SHG,12,shortnose gar,1,2BE
1568,GZS,20,gizzard shad,43,1BE
1568,GZS,20,gizzard shad,28,2BE
1568,CAP,46,common carp,1,1BE
1568,CAP,46,common carp,6,2BE
1568,CRC,50,creek chub,1,1SH
1568,COS,54,central stoneroller,4,1BE
1568,SUM,56,suckermouth minnow,11,1BE
1568,SUM,56,suckermouth minnow,2,2BE
1568,RES,79,red shiner,54,1BE
1568,RES,79,red shiner,10,1SH
1568,RES,79,red shiner,29,2BE
1568,FHM,81,fathead minnow,1,1SH
1568,BLS,82,bluntnose minnow,18,1BE
1568,BLS,82,bluntnose minnow,1,1SH
1568,BLS,82,bluntnose minnow,15,2BE
1568,BUM,83,bullhead minnow,11,1BE
1568,BUM,83,bullhead minnow,3,2BE
1568,SJM,89,silverjaw minnow,1,1BE
1568,BMS,91,bigmouth shiner,2,1SH
1568,SAS,95,sand shiner,9,1BE
1617,WHS,111,white sucker,3,1ES
1617,SHR,119,shorthead redhorse,4,1ES
1617,GOR,121,golden redhorse,4,1ES
1617,CCF,123,channel catfish,7,1ES
1617,YEB,125,yellow bullhead,6,1ES
1617,FCF,128,flathead catfish,2,1ES
1617,FRM,131,freckled madtom,5,1ES
1617,SLM,132,slender madtom,1,1ES
1617,MOF,145,mosquitofish,2,1ES
1617,BAS,154,banded sculpin,83,1ES
1617,LMB,166,largemouth bass,32,1ES
1617,SMB,168,smallmouth bass,5,1ES
1617,GSF,170,green sunfish,4,1ES
1617,BLG,173,bluegill,1,1ES
1617,SHD,186,slenderhead darter,2,1ES
1617,LOP,187,logperch,14,1ES
1617,ORD,199,orangethroat darter,11,1ES
1617,FAD,202,fantail darter,1,1ES
1617,GZS,20,gizzard shad,23,1ES
1617,CAP,46,common carp,15,1ES
1617,CRC,50,creek chub,2,1ES
1617,HOC,52,hornyhead chub,3,1ES
1617,COS,54,central stoneroller,328,1ES
1617,SVM,65,Mississippi silvery minnow,5,1ES
1617,STS,70,striped shiner,1,1ES
1617,RES,79,red shiner,244,1ES
1617,BLS,82,bluntnose minnow,290,1ES
1617,EMS,85,emerald shiner,5,1ES
1617,BMS,91,bigmouth shiner,27,1ES
1617,SAS,95,sand shiner,901,1ES
1618,SHG,12,shortnose gar,3,1BE
1618,GZS,20,gizzard shad,32,1BE
1618,GZS,20,gizzard shad,51,2BE
1618,GRC,42,grass carp,2,1BE
1618,GRC,42,grass carp,1,2BE
1618,CAP,46,common carp,23,1BE
1618,CAP,46,common carp,1,1SH
1618,CAP,46,common carp,27,2BE
1618,CGH,46.5,Hybrid common carp x goldlfish,2,1BE
1618,HOC,52,hornyhead chub,1,1BE
1618,RES,79,red shiner,3,1BE
1618,RES,79,red shiner,6,1SH
1618,RES,79,red shiner,56,2BE
1618,BLS,82,bluntnose minnow,15,1BE
1618,SAS,95,sand shiner,1,1SH
1618,SAS,95,sand shiner,2,2BE
1618,BGB,104,bigmouth buffalo,2,1BE
1618,BGB,104,bigmouth buffalo,3,2BE
1618,SAB,105,smallmouth buffalo,16,1BE
1618,SAB,105,smallmouth buffalo,7,2BE
1618,BKB,106,black buffalo,4,1BE
1618,BKB,106,black buffalo,4,2BE
1618,ULL,107,quillback,6,2BE
1618,RVC,108,river carpsucker,15,1BE
1618,RVC,108,river carpsucker,18,2BE
1618,WHS,111,white sucker,1,2BE
1618,SHR,119,shorthead redhorse,7,1BE
1618,SHR,119,shorthead redhorse,2,2BE
1618,GOR,121,golden redhorse,4,1BE
1618,GOR,121,golden redhorse,2,2BE
1618,CCF,123,channel catfish,5,1BE
1618,CCF,123,channel catfish,8,2BE
1618,BLB,126,black bullhead,1,2BE
1618,FCF,128,flathead catfish,2,1BE
1618,FCF,128,flathead catfish,1,2BE
1618,BLC,163,black crappie,2,1BE
1618,LMB,166,largemouth bass,1,1BE
1618,LMB,166,largemouth bass,2,2BE
1618,GSF,170,green sunfish,1,1BE
1618,BLG,173,bluegill,9,1BE
1618,BLG,173,bluegill,3,2BE
1618,SAR,179,sauger,3,1BE
1618,SAR,179,sauger,1,2BE
1618,SHD,186,slenderhead darter,1,1BE
1618,LOP,187,logperch,1,1BE
1618,LOP,187,logperch,2,1SH
1618,FRD,207,freshwater drum,16,1BE
1618,FRD,207,freshwater drum,20,2BE
1619,GZS,20,gizzard shad,2,1BE
1619,GZS,20,gizzard shad,13,1SH
1619,SCP,44,silver carp,2,1BE
1619,CAP,46,common carp,18,1BE
1619,SUM,56,suckermouth minnow,12,1SH
1619,RES,79,red shiner,6,1BE
1619,RES,79,red shiner,63,1SH
1619,BLS,82,bluntnose minnow,2,1BE
1619,BLS,82,bluntnose minnow,33,1SH
1619,BMS,91,bigmouth shiner,4,1SH
1619,SAS,95,sand shiner,2,1BE
1619,SAS,95,sand shiner,38,1SH
1619,BGB,104,bigmouth buffalo,2,1BE
1619,SAB,105,smallmouth buffalo,2,1BE
1619,BKB,106,black buffalo,2,1BE
1619,RVC,108,river carpsucker,15,1BE
1619,RVC,108,river carpsucker,1,1SH
1619,SHR,119,shorthead redhorse,2,1BE
1619,GOR,121,golden redhorse,2,1BE
1619,CCF,123,channel catfish,2,1BE
1619,FCF,128,flathead catfish,1,1BE
1619,FRM,131,freckled madtom,1,1SH
1619,MOF,145,mosquitofish,1,1SH
1619,LMB,166,largemouth bass,6,1BE
1619,LMB,166,largemouth bass,5,1SH
1619,GSF,170,green sunfish,6,1BE
1619,BLG,173,bluegill,6,1BE
1619,BLG,173,bluegill,1,1SH
1619,SAR,179,sauger,1,1BE
1619,SAR,179,sauger,4,1SH
1619,SHD,186,slenderhead darter,1,1BE
1619,SHD,186,slenderhead darter,8,1SH
1619,LOP,187,logperch,1,1SH
1619,FRD,207,freshwater drum,4,1BE
1620,CRC,50,creek chub,45,1ES
1620,COS,54,central stoneroller,11,1ES
1620,SUM,56,suckermouth minnow,3,1ES
1620,RES,79,red shiner,11,1ES
1620,BLS,82,bluntnose minnow,4,1ES
1620,SAS,95,sand shiner,5,1ES
1620,WHS,111,white sucker,2,1ES
1620,YEB,125,yellow bullhead,13,1ES
1620,TPM,130,tadpole madtom,1,1ES
1620,BLT,143,blackstripe topminnow,2,1ES
1620,LMB,166,largemouth bass,9,1ES
1620,GSF,170,green sunfish,127,1ES
1620,BLG,173,bluegill,41,1ES
1621,SHG,12,shortnose gar,1,1ES
1621,GZS,20,gizzard shad,42,1ES
1621,CRC,50,creek chub,5,1ES
1621,COS,54,central stoneroller,58,1ES
1621,SUM,56,suckermouth minnow,12,1ES
1621,RES,79,red shiner,33,1ES
1621,BLS,82,bluntnose minnow,12,1ES
1621,BMS,91,bigmouth shiner,156,1ES
1621,SAS,95,sand shiner,135,1ES
1621,BGB,104,bigmouth buffalo,5,1ES
1621,WHS,111,white sucker,2,1ES
1621,CCF,123,channel catfish,1,1ES
1621,YEB,125,yellow bullhead,4,1ES
1621,BLT,143,blackstripe topminnow,14,1ES
1621,LMB,166,largemouth bass,5,1ES
1621,GSF,170,green sunfish,7,1ES
1621,BLG,173,bluegill,11,1ES
1623,GZS,20,gizzard shad,64,1ES
1623,CAP,46,common carp,7,1ES
1623,HOC,52,hornyhead chub,35,1ES
1623,COS,54,central stoneroller,4,1ES
1623,SUM,56,suckermouth minnow,8,1ES
1623,SVM,65,Mississippi silvery minnow,3,1ES
1623,RES,79,red shiner,52,1ES
1623,BLS,82,bluntnose minnow,6,1ES
1623,BMS,91,bigmouth shiner,6,1ES
1623,SAS,95,sand shiner,44,1ES
1623,SHR,119,shorthead redhorse,5,1ES
1623,CCF,123,channel catfish,9,1ES
1623,FRM,131,freckled madtom,2,1ES
1623,MOF,145,mosquitofish,1,1ES
1623,BAS,154,banded sculpin,12,1ES
1623,LMB,166,largemouth bass,4,1ES
1623,GSF,170,green sunfish,17,1ES
1623,BLG,173,bluegill,3,1ES
1623,WAE,178,walleye,1,1ES
1623,SHD,186,slenderhead darter,2,1ES
1623,LOP,187,logperch,4,1ES
1623,MUD,198,mud darter,5,1ES
1623,FRD,207,freshwater drum,1,1ES
1624,CRC,50,creek chub,16,1ES
1624,HOC,52,hornyhead chub,2,1ES
1624,COS,54,central stoneroller,26,1ES
1624,RES,79,red shiner,15,1ES
1624,BLS,82,bluntnose minnow,3,1ES
1624,BMS,91,bigmouth shiner,144,1ES
1624,SAS,95,sand shiner,41,1ES
1624,WHS,111,white sucker,4,1ES
1624,PRP,137,pirate perch,1,1ES
1624,BLT,143,blackstripe topminnow,2,1ES
1624,MOF,145,mosquitofish,10,1ES
1624,LMB,166,largemouth bass,9,1ES
1624,GSF,170,green sunfish,45,1ES
1624,BLG,173,bluegill,6,1ES
1624,ORD,199,orangethroat darter,49,1ES
1626,CRC,50,creek chub,87,1ES
1626,HOC,52,hornyhead chub,57,1ES
1626,COS,54,central stoneroller,57,1ES
1626,BKD,57,blacknose dace,2,1ES
1626,RES,79,red shiner,28,1ES
1626,BLS,82,bluntnose minnow,7,1ES
1626,BMS,91,bigmouth shiner,498,1ES
1626,SAS,95,sand shiner,152,1ES
1626,WHS,111,white sucker,6,1ES
1626,BLB,126,black bullhead,1,1ES
1626,BLT,143,blackstripe topminnow,1,1ES
1626,LMB,166,largemouth bass,4,1ES
1626,GSF,170,green sunfish,1,1ES
1626,BLG,173,bluegill,6,1ES
1626,ORD,199,orangethroat darter,1,1ES
1627,GZS,20,gizzard shad,1,2BE
1627,GRP,39,grass pickerel,1,1BE
1627,GRP,39,grass pickerel,1,1SH
1627,GRP,39,grass pickerel,2,2BE
1627,CAP,46,common carp,2,1BE
1627,CAP,46,common carp,6,2BE
1627,HOC,52,hornyhead chub,5,1SH
1627,HOC,52,hornyhead chub,14,2BE
1627,RES,79,red shiner,111,1BE
1627,RES,79,red shiner,79,1SH
1627,RES,79,red shiner,30,2BE
1627,BLS,82,bluntnose minnow,34,1BE
1627,BLS,82,bluntnose minnow,4,1SH
1627,BLS,82,bluntnose minnow,15,2BE
1627,BUM,83,bullhead minnow,9,1BE
1627,SAS,95,sand shiner,6,1BE
1627,SAS,95,sand shiner,2,1SH
1627,ULL,107,quillback,1,1BE
1627,WHS,111,white sucker,4,1BE
1627,SHR,119,shorthead redhorse,2,1BE
1627,SHR,119,shorthead redhorse,3,2BE
1627,CCF,123,channel catfish,3,1BE
1627,CCF,123,channel catfish,4,2BE
1627,FRM,131,freckled madtom,1,1BE
1627,LMB,166,largemouth bass,16,1BE
1627,LMB,166,largemouth bass,2,2BE
1627,GSF,170,green sunfish,12,1BE
1627,GSF,170,green sunfish,5,2BE
1627,BLG,173,bluegill,6,1BE
1627,BLG,173,bluegill,4,2BE
1627,BLD,181,blackside darter,2,1SH
1627,SHD,186,slenderhead darter,13,1SH
1627,FRD,207,freshwater drum,3,1BE
1627,FRD,207,freshwater drum,1,2BE
1630,SHG,12,shortnose gar,1,1ES
1630,GZS,20,gizzard shad,4,1ES
1630,CRC,50,creek chub,2,1ES
1630,COS,54,central stoneroller,46,1ES
1630,SUM,56,suckermouth minnow,184,1ES
1630,RES,79,red shiner,306,1ES
1630,FHM,81,fathead minnow,1,1ES
1630,BLS,82,bluntnose minnow,50,1ES
1630,BMS,91,bigmouth shiner,4,1ES
1630,SAS,95,sand shiner,82,1ES
1630,BGB,104,bigmouth buffalo,4,1ES
1630,ULL,107,quillback,22,1ES
1630,RVC,108,river carpsucker,24,1ES
1630,HFC,109,highfin carpsucker,4,1ES
1630,NHS,116,northern hog sucker,12,1ES
1630,SHR,119,shorthead redhorse,11,1ES
1630,GOR,121,golden redhorse,6,1ES
1630,CCF,123,channel catfish,32,1ES
1630,FCF,128,flathead catfish,24,1ES
1630,STC,129,stonecat,2,1ES
1630,LMB,166,largemouth bass,11,1ES
1630,GSF,170,green sunfish,18,1ES
1630,BLG,173,bluegill,2,1ES
1630,SHD,186,slenderhead darter,46,1ES
1630,LOP,187,logperch,6,1ES
1630,ORD,199,orangethroat darter,2,1ES
1630,FAD,202,fantail darter,8,1ES
1631,GZS,20,gizzard shad,1,1ES
1631,CAP,46,common carp,3,1ES
1631,CRC,50,creek chub,27,1ES
1631,COS,54,central stoneroller,59,1ES
1631,SUM,56,suckermouth minnow,10,1ES
1631,RDS,72,redfin shiner,4,1ES
1631,RES,79,red shiner,192,1ES
1631,BLS,82,bluntnose minnow,161,1ES
1631,BUM,83,bullhead minnow,1,1ES
1631,SAS,95,sand shiner,51,1ES
1631,ULL,107,quillback,16,1ES
1631,RVC,108,river carpsucker,1,1ES
1631,WHS,111,white sucker,13,1ES
1631,NHS,116,northern hog sucker,2,1ES
1631,GOR,121,golden redhorse,11,1ES
1631,CCF,123,channel catfish,1,1ES
1631,YEB,125,yellow bullhead,14,1ES
1631,STC,129,stonecat,1,1ES
1631,LMB,166,largemouth bass,8,1ES
1631,GSF,170,green sunfish,8,1ES
1631,BLG,173,bluegill,12,1ES
1631,JOD,191,johnny darter,15,1ES
1631,ORD,199,orangethroat darter,34,1ES
1631,FAD,202,fantail darter,11,1ES
1632,GZS,20,gizzard shad,5,1ES
1632,CRC,50,creek chub,13,1ES
1632,COS,54,central stoneroller,367,1ES
1632,SUM,56,suckermouth minnow,28,1ES
1632,BKD,57,blacknose dace,1,1ES
1632,RDS,72,redfin shiner,3,1ES
1632,RES,79,red shiner,129,1ES
1632,BLS,82,bluntnose minnow,136,1ES
1632,BMS,91,bigmouth shiner,81,1ES
1632,SAS,95,sand shiner,147,1ES
1632,ULL,107,quillback,2,1ES
1632,WHS,111,white sucker,17,1ES
1632,GOR,121,golden redhorse,1,1ES
1632,YEB,125,yellow bullhead,9,1ES
1632,BLT,143,blackstripe topminnow,1,1ES
1632,LMB,166,largemouth bass,9,1ES
1632,GSF,170,green sunfish,13,1ES
1632,BLG,173,bluegill,3,1ES
1632,ORD,199,orangethroat darter,28,1ES
1632,FAD,202,fantail darter,1,1ES
1633,CAP,46,common carp,5,1ES
1633,CRC,50,creek chub,37,1ES
1633,HOC,52,hornyhead chub,3,1ES
1633,COS,54,central stoneroller,334,1ES
1633,SUM,56,suckermouth minnow,60,1ES
1633,BKD,57,blacknose dace,2,1ES
1633,RDS,72,redfin shiner,7,1ES
1633,RES,79,red shiner,120,1ES
1633,BLS,82,bluntnose minnow,131,1ES
1633,BMS,91,bigmouth shiner,306,1ES
1633,SAS,95,sand shiner,239,1ES
1633,BGB,104,bigmouth buffalo,25,1ES
1633,WHS,111,white sucker,6,1ES
1633,CCF,123,channel catfish,1,1ES
1633,YEB,125,yellow bullhead,3,1ES
1633,LMB,166,largemouth bass,23,1ES
1633,GSF,170,green sunfish,1,1ES
1633,BLG,173,bluegill,8,1ES
1633,LOP,187,logperch,2,1ES
1633,ORD,199,orangethroat darter,120,1ES
1633,FAD,202,fantail darter,2,1ES
1634,CAP,46,common carp,4,1ES
1634,GOS,48,golden shiner,1,1ES
1634,CRC,50,creek chub,5,1ES
1634,COS,54,central stoneroller,26,1ES
1634,SUM,56,suckermouth minnow,16,1ES
1634,RDS,72,redfin shiner,3,1ES
1634,RES,79,red shiner,55,1ES
1634,BLS,82,bluntnose minnow,22,1ES
1634,SAS,95,sand shiner,6,1ES
1634,ULL,107,quillback,2,1ES
1634,RVC,108,river carpsucker,8,1ES
1634,WHS,111,white sucker,22,1ES
1634,GOR,121,golden redhorse,6,1ES
1634,YEB,125,yellow bullhead,8,1ES
1634,BLT,143,blackstripe topminnow,1,1ES
1634,LMB,166,largemouth bass,9,1ES
1634,GSF,170,green sunfish,26,1ES
1634,BLG,173,bluegill,19,1ES
1634,JOD,191,johnny darter,2,1ES
1634,ORD,199,orangethroat darter,1,1ES
1635,GZS,20,gizzard shad,65,1ES
1635,CAP,46,common carp,3,1ES
1635,CRC,50,creek chub,4,1ES
1635,HOC,52,hornyhead chub,21,1ES
1635,COS,54,central stoneroller,1,1ES
1635,RES,79,red shiner,50,1ES
1635,BLS,82,bluntnose minnow,63,1ES
1635,EMS,85,emerald shiner,20,1ES
1635,BMS,91,bigmouth shiner,8,1ES
1635,SAS,95,sand shiner,77,1ES
1635,BGB,104,bigmouth buffalo,1,1ES
1635,NHS,116,northern hog sucker,1,1ES
1635,SHR,119,shorthead redhorse,5,1ES
1635,GOR,121,golden redhorse,4,1ES
1635,CCF,123,channel catfish,3,1ES
1635,YEB,125,yellow bullhead,1,1ES
1635,STC,129,stonecat,1,1ES
1635,BLT,143,blackstripe topminnow,1,1ES
1635,WHB,158,white bass,2,1ES
1635,LMB,166,largemouth bass,5,1ES
1635,WAM,169,warmouth,1,1ES
1635,BLG,173,bluegill,2,1ES
1635,BLD,181,blackside darter,2,1ES
1635,SHD,186,slenderhead darter,1,1ES
1635,LOP,187,logperch,3,1ES
1640,SHG,12,shortnose gar,1,2BE
1640,LOG,13,longnose gar,1,1BE
1640,GZS,20,gizzard shad,4,1BE
1640,GZS,20,gizzard shad,23,2BE
1640,CAP,46,common carp,2,1BE
1640,RES,79,red shiner,68,1BE
1640,RES,79,red shiner,41,2BE
1640,BUM,83,bullhead minnow,8,1BE
1640,BUM,83,bullhead minnow,11,2BE
1640,BGB,104,bigmouth buffalo,1,2BE
1640,SAB,105,smallmouth buffalo,4,1BE
1640,ULL,107,quillback,1,1BE
1640,RVC,108,river carpsucker,2,1BE
1640,CCF,123,channel catfish,1,1BE
