FieldNum,WBName,Location,LAT8xDD,LON8xDD,County,State,DrainSqMi,Gradient,HUC8,HUC8_name,HUC10,HUC11,HUC12,Group_ID,Group_name,Basin,Reference,EcoLevel3,EcoLevel3Name,EcoLevel4,Province,Section,Subsection,PhysioProv,PhysioSect,DNRFisheries_area,Comments,FishRegion,FishClass,FishClassName,InvertClass,InvertClassName,AgPercent,RangePercent,AgRangePercent,UrbanPercent,ForestPercent,WetlandPercent,WaterPercent,MiningPercent,DisturbedPercent,TotalPercent,LUSource,TotalScore_Combined
10MN062,County Ditch 37,"Downstream of CSAH 8 (320th St.), 2 mi. SE of Minneota",44.51737,-95.96877,Lyon,MN,7.531887859,2.435899973,07020004,Minnesota River - Yellow Medicine River,0702000406,07020004490,070200040601,0702000406-01,Lower Yellow Medicine River,MN,FALSE,47,WCBP,47b,251,251B,251Ba,,,Spicer Area,,South,3,Southern Headwaters,7,Prairie Streams GP,84.8,10.5,95.3,3.1,0.2,0.7,0.4,0.2,98.6,99.9,nlcd2001,40.21243063
10LM018,"Whitewater River, South Fork","Upstream of CSAH 32, 2 mi. W of Dover",43.97742,-92.17971,Olmsted,MN,8.976759357,2.110300064,07040003,Mississippi River - Winona,0704000303,07040003140,070400030306,0704000303-02,South Fork Whitewater River,LM,FALSE,52,DA,52c,222,222L,222Lf,,,Lake City Area,,South,3,Southern Headwaters,5,Southern Streams RR,69.4,13.3,82.7,16,1.1,0,0,0.2,98.9,100,nlcd2001,46.3209612
10EM024,Kettle River,"Upstream and downstream of CSAH 46, 3 mi. W of Sturgeon Lake",46.38942976,-92.88247285,Pine,MN,297.8221394,1.084699988,07030003,Kettle River,0703000301,07030003010,070300030110,0703000301-01,Middle Kettle River,SC,TRUE,50,NLF,50b,212,212K,212Kb,,,Hinckley Area,,North,5,Northern Streams,3,Northern Forest Streams RR,0.8,13.7,14.5,2,57.9,25.2,0.4,0,16.5,100,nlcd2001,68.69279542
10MN115,"Beaver Creek, East Fork","Upstream of CR 62 (770th Ave.), 10 mi. N of Morton",44.70321,-94.99773,Renville,MN,66.2573312,1.447700024,07020004,Minnesota River - Yellow Medicine River,0702000411,07020004740,070200041105,0702000411-03,East Fork Beaver Creek,MN,FALSE,47,WCBP,47b,251,251B,251Ba,,,Hutchinson Area,,South,2,Southern Streams,,,87.8,0.7,88.5,8.1,1.1,2.1,0.1,0,96.6,99.9,nlcd2001,21.61416557
10MN106,Hawk Creek,"Downstream of Hwy 23, 2 mi. NE of Raymond",45.03611,-95.20141,Kandiyohi,MN,76.25571687,1.664600015,07020004,Minnesota River - Yellow Medicine River,0702000407,07020004540,070200040702,0702000407-01,Upper Hawk Creek,MN,FALSE,47,WCBP,47b,251,251B,251Ba,,,Spicer Area,,South,2,Southern Streams,7,Prairie Streams GP,65.6,8.5,74.1,13.4,2.5,3.8,6.2,0.1,87.6,100.1,nlcd2001,31.07880774
10EM072,Pine River,"0.25 mi. downstream of CR 151, 2 mi. NW of Rutledge",46.27033576,-92.90230678,Pine,MN,120.7701297,0.637199998,07030003,Kettle River,0703000304,07030003100,070300030406,0703000304-01,Pine River,SC,TRUE,50,NLF,50b,212,212K,212Kb,,,Hinckley Area,,North,5,Northern Streams,3,Northern Forest Streams RR,1.4,18.4,19.8,2.8,59.5,15.2,2.7,0,22.6,100,nlcd2001,72.99771138
10MN125,County Ditch 2,"Upstream of 635th St, 8 mi. E of Wood Lake",44.67768,-95.37101,Yellow Medicine,MN,7.469339309,6.977499962,07020004,Minnesota River - Yellow Medicine River,0702000410,07020004570,070200041007,0702000410-01,Wood Lake Creek-Minnesota River,MN,FALSE,47,WCBP,47b,251,251B,251Ba,,,Spicer Area,,South,3,Southern Headwaters,7,Prairie Streams GP,92.9,0.3,93.2,4.7,1.8,0.3,0,0,97.9,100,nlcd2001,45.38430696
10UM015,Bass Creek,"Downstream of 67th Ave N, in New Hope",45.06653,-93.39706,Hennepin,MN,7.656984958,3.384799957,07010206,Mississippi River - Twin Cities,0701020604,07010206870,070102060401,0701020604-01,Shingle Creek,UM,FALSE,51,NCHF,51i,222,222M,222Mb,,,West Metro Area,,North,6,Northern Headwaters,6,Southern Forest Streams GP,2.7,5.7,8.4,71.6,9.6,4.6,5.8,0,80,100,nlcd2001,38.76780126
10MN163,Muddy Creek,"Upstream of 4th St W, in Chokio",45.57625,-96.18115,Stevens,MN,15.45470415,0.951399982,07020002,Pomme de Terre River,0702000204,07020002030,070200020401,0702000204-01,Muddy Creek,MN,FALSE,46,NGP,46e,251,251B,251Ba,,,Glenwood Area,,South,3,Southern Headwaters,,,78.1,2.5,80.6,4.4,1.6,11,2.5,0,85,100.1,nlcd2001,28.70888479
10EM087,Chub Creek,"0.25 mi. upstream of Arkansas Ave, 4 mi. NE of Northfield",44.51082019,-93.11051924,Dakota,MN,54.84534831,0.50880003,07040002,Cannon River,0704000204,07040002090,070400020404,0704000204-01,Chub Creek,LM,FALSE,47,WCBP,47g,222,222M,222Me,,,Lake City Area,,South,2,Southern Streams,6,Southern Forest Streams GP,52.2,26.8,79,4.9,10.2,4.9,1,0,83.9,100,nlcd2001,55.81266997
04LM105,Unnamed trib. to Whitewater River,"Upstream of Hwy 74, in Whitewater State Park",44.12109924,-92.00859867,Winona,MN,5.186664737,23.12770081,07040003,Mississippi River - Winona,0704000303,07040003160,070400030310,0704000303-01,Whitewater River,LM,TRUE,52,DA,52b,222,222L,222Lc,12,12c,Lake City Area,proposed use class change (2013 assessment year) from warmwater to coldwater,South,10,Southern Coldwater,9,Southern Coldwater,27.4,27.6,55,2.2,42.7,0.1,0,0,57.2,100,nlcd2001,68.64754275
00UM036,Unnamed trib. to Watab River,Upstream of CR 4,45.64064869,-94.32415606,Stearns,MN,4.544847119,1.314977765,07010201,Mississippi River - Sartell,0701020106,07010201680,070102010603,0701020106-01,Watab River,UM,TRUE,51,NCHF,51k,222,222M,222Ma,12,12b,Montrose Area,Low Gradient fish class based on secondary criteria,North,7,Low Gradient,6,Southern Forest Streams GP,13.6,35.9,49.5,3,19.5,27.7,0.3,0,52.5,100,nlcd2001,62.114943
00UM037,Hobboken Creek,South of Hwy 28,45.71507774,-95.00682476,Stearns,MN,17.09973101,2.029956579,07010202,Sauk River,0701020203,07010202030,070102020301,0701020203-01,Upper Sauk River,UM,FALSE,51,NCHF,51l,251,251B,251Ba,12,12b,Montrose Area,,North,6,Northern Headwaters,7,Prairie Streams GP,76.3,16.9,93.2,3.9,1.6,1.1,0.1,0,97.1,99.9,nlcd2001,33.50567575
00UM038,Sauk River,"Upstream of confluence with Adley Creek on CR 168, in Melrose",45.68154959,-94.77174856,Stearns,MN,438.632477,0.48835668,07010202,Sauk River,0701020203,07010202040,070102020304,0701020203-01,Upper Sauk River,UM,FALSE,51,NCHF,51k,251,251B,251Ba,12,12b,Montrose Area,,North,5,Northern Streams,7,Prairie Streams GP,51.1,25.8,76.9,5.5,7.2,5.1,5.3,0,82.4,100,nlcd2001,52.44270158
00UM039,Getchell Creek,"At CR 176, 14 mi. SW Albany",45.58553265,-94.72670315,Stearns,MN,60.88232583,1.387283206,07010202,Sauk River,0701020205,07010202060,070102020504,0701020205-02,Getchell Creek,UM,FALSE,51,NCHF,51k,222,222M,222Ma,12,12b,Montrose Area,,North,5,Northern Streams,5,Southern Streams RR,45.2,40.5,85.7,5.1,5.6,1.8,1.7,0,90.8,99.9,nlcd2001,37.02038002
00UM040,Spunk Creek,"Upstream of Queens Dr., 4 mi. N of Avon",45.63873592,-94.43555112,Stearns,MN,32.65416535,0.397492379,07010201,Mississippi River - Sartell,0701020102,07010201580,070102010201,0701020102-01,Spunk Creek,UM,FALSE,51,NCHF,51k,222,222M,222Ma,12,12b,Montrose Area,,North,7,Low Gradient,6,Southern Forest Streams GP,25,28.8,53.8,5.7,25.8,4.6,10.1,0,59.5,100,nlcd2001,57.89168783
00UM041,"Watab River, South Fork","Upstream of CR 2, 2 mi. N of St. Joseph",45.58986569,-94.31865362,Stearns,MN,52.18738244,0.901238084,07010201,Mississippi River - Sartell,0701020106,07010201680,070102010604,0701020106-01,Watab River,UM,FALSE,51,NCHF,51h,222,222M,222Mc,12,12b,Montrose Area,,North,5,Northern Streams,5,Southern Streams RR,17.2,36.8,54,6.9,28.6,5.5,4.9,0,60.9,99.9,nlcd2001,56.46004898
00UM042,Mayhew Creek,"Upstream of Hwy. 3, 5 mi. E of Sauk Rapids",45.61269814,-94.10609511,Benton,MN,44.68850631,1.017095089,07010203,Mississippi River - St. Cloud,0701020303,07010203020,070102030302,0701020303-02,Mayhew Creek,UM,FALSE,51,NCHF,51k,212,212K,212Kb,12,12b,Little Falls Area,,North,6,Northern Headwaters,6,Southern Forest Streams GP,43.9,35,78.9,4.2,9.4,7,0.4,0,83.1,99.9,nlcd2001,43.62053785
00UM043,Briggs Creek,"Upstream of CR 48, 3.5 mi. SW of Santiago",45.51623015,-93.92420013,Sherburne,MN,8.661236673,0.934984505,07010203,Mississippi River - St. Cloud,0701020305,07010203040,070102030502,0701020305-01,Lower Elk River,UM,TRUE,51,NCHF,51h,222,222M,222Mc,12,12b,Montrose Area,proposed use class change (2011 assessment year) from coldwater to warmwater,North,6,Northern Headwaters,6,Southern Forest Streams GP,31.1,18.8,49.9,4.5,34.6,10,1,0,54.4,100,nlcd2001,64.27871027
00UM044,Rum River,Downstream of CR 5 in Isanti,45.49079518,-93.26489795,Isanti,MN,1273.685376,0.183898911,07010207,Rum River,0701020707,07010207150,070102070702,0701020707-01,Lower Rum River,UM,FALSE,51,NCHF,51h,222,222M,222Mc,12,12b,Hinckley Area,,North,4,Northern Rivers,1,Northern Forest Rivers,16.8,19.8,36.6,4.2,31.5,10.1,17.5,0,40.8,99.9,nlcd2001,59.41398068
00UM046,County Ditch 37,"Upstream of CR 107, 6 mi. NW of New London",45.36334467,-95.06057862,Kandiyohi,MN,8.02046153,0.665609717,07010204,North Fork Crow River,0701020402,07010204030,070102040203,0701020402-02,Upper Middle Fork Crow River,UM,FALSE,51,NCHF,51l,251,251B,251Ba,12,12b,Spicer Area,,North,6,Northern Headwaters,,,21.7,25.7,47.4,2.8,33.4,9.6,6.8,0,50.2,100,nlcd2001,50.69680789
00UM047,"Trib. to Crow River, South Fork","Downstream of 60th St. SE, 5 mi. SW of Kandiyohi",45.08829189,-94.9629926,Kandiyohi,MN,5.302379554,4.300018787,07010205,South Fork Crow River,0701020501,07010205010,070102050101,0701020501-01,Headwaters South Fork Crow River,UM,FALSE,47,WCBP,47b,251,251B,251Ba,12,12b,Spicer Area,,North,6,Northern Headwaters,,,71.3,15.6,86.9,9.4,1.8,1.8,0,0,96.3,99.9,nlcd2001,20.01280267
00UM048,"Crow River, South Fork","Adjacent to 210th Ave. SE, 2 mi. SW of Thorpe",44.92114039,-94.80447137,Kandiyohi,MN,200.7082187,0.239990249,07010205,South Fork Crow River,0701020501,07010205030,070102050106,0701020501-01,Headwaters South Fork Crow River,UM,FALSE,47,WCBP,47b,251,251B,251Ba,12,12b,Spicer Area,,North,5,Northern Streams,7,Prairie Streams GP,72.3,7.7,80,5.5,3,3.4,8.1,0,85.5,100,nlcd2001,27.34716095
00UM049,Buffalo Creek,"Upstream of 440th St., 7 mi. NW of Hector",44.7879434,-94.79428532,Renville,MN,54.5134935,0.329986572,07010205,South Fork Crow River,0701020504,07010205070,070102050402,0701020504-01,Judicial Ditch No. 28A,UM,FALSE,47,WCBP,47b,251,251B,251Ba,12,12b,Hutchinson Area,,North,5,Northern Streams,7,Prairie Streams GP,91.4,0.3,91.7,4,1,3,0.1,0.1,95.8,99.9,nlcd2001,24.96715275
00UM050,County Ditch 4,"Downstream of 490th St., 4.5 mi. N of Hector",44.81191721,-94.69040392,Renville,MN,16.52185191,2.730010986,07010205,South Fork Crow River,0701020504,07010205070,070102050403,0701020504-01,Judicial Ditch No. 28A,UM,FALSE,47,WCBP,47b,251,251B,251Ba,12,12b,Hutchinson Area,,North,6,Northern Headwaters,5,Southern Streams RR,90,1.9,91.9,5.1,0.9,1.9,0.2,0,97,100,nlcd2001,29.89858452
00UM051,Judicial Ditch 15,"Downstream of 550th St., 3 mi. NE of Buffalo Lake",44.76638151,-94.557667,Renville,MN,99.34342903,0.559997559,07010205,South Fork Crow River,0701020505,07010205070,070102050503,0701020505-01,Judicial Ditch No. 15,UM,FALSE,47,WCBP,47b,251,251B,251Ba,12,12b,Hutchinson Area,,North,5,Northern Streams,5,Southern Streams RR,89.4,0.6,90,7.2,1.3,1.3,0.1,0,97.2,99.9,nlcd2001,21.88742642
00UM052,Buffalo Creek,"Upstream of Zane Ave., 2 mi. NW of Stewart",44.74244131,-94.50008159,Renville,MN,237.2324018,1.071807861,07010205,South Fork Crow River,0701020506,07010205080,070102050602,0701020506-01,Buffalo Creek,UM,FALSE,47,WCBP,47b,251,251B,251Ba,12,12b,Hutchinson Area,,North,5,Northern Streams,7,Prairie Streams GP,88.9,1.1,90,5.4,1.5,1.9,1.1,0,95.4,99.9,nlcd2001,27.58386772
08UM069,Trib. to Jewitts Creek,"At 310th St, 4.5 mi. N of Litchfield",45.19533045,-94.55311543,Meeker,MN,20.25878026,1.363399982,07010204,North Fork Crow River,0701020403,07010204070,070102040304,0701020403-02,Jewitts Creek,UM,FALSE,51,NCHF,51k,251,251B,251Ba,,,Hutchinson Area,,North,6,Northern Headwaters,,,77,7.4,84.4,3.2,3.6,6.4,2.4,0,87.6,100,nlcd2001,39.37897804
08UM003,Sauk River,Upstream of Mill St N in Rockville,45.47551601,-94.34361354,Stearns,MN,959.4537482,0.397599995,07010202,Sauk River,0701020206,07010202080,070102020607,0701020206-01,Lower Sauk River,UM,FALSE,51,NCHF,51k,222,222M,222Ma,,,Montrose Area,,North,4,Northern Rivers,2,Prairie Forest Rivers,51.1,27.6,78.7,5.3,8,3.4,4.6,0,84,100,nlcd2001,51.41691868
08UM004,Mill Creek,"Downstream of Mill St, .5 mi. SE of Rockville",45.46405485,-94.33664599,Stearns,MN,47.62203329,2.114000082,07010202,Sauk River,0701020206,07010202110,070102020606,0701020206-02,Mill Creek,UM,FALSE,51,NCHF,51k,222,222M,222Ma,,,Montrose Area,,North,6,Northern Headwaters,5,Southern Streams RR,41.8,23.1,64.9,4.6,18.8,3.8,7.9,0,69.5,100,nlcd2001,50.79902784
08UM027,Sauk River,Upstream of CR 30 in New Munich,45.62655388,-94.75914169,Stearns,MN,569.8416121,0.389099985,07010202,Sauk River,0701020205,07010202040,070102020502,0701020205-01,Middle Sauk River,UM,FALSE,51,NCHF,51k,251,251B,251Ba,,,Montrose Area,,North,4,Northern Rivers,2,Prairie Forest Rivers,48.3,27.4,75.7,5.4,8.8,4.5,5.6,0,81.1,100,nlcd2001,51.37976934
08UM042,Ashley Creek,"Upstream of CR 92, 4.5 mi. NW of Sauk Centre",45.77300367,-95.03669911,Stearns,MN,68.92050945,2.165800095,07010202,Sauk River,0701020202,07010202020,070102020203,0701020202-01,Ashley Creek,UM,FALSE,51,NCHF,51l,251,251B,251Ba,,,Little Falls Area,,North,5,Northern Streams,5,Southern Streams RR,68.4,16.4,84.8,3.8,3.1,6.7,1.6,0,88.6,100,nlcd2001,41.59906975
08UM050,Ashley Creek,"Upstream of Twp Rd 130, 1 mi. NW of Westport",45.71949335,-95.18224935,Pope,MN,24.74351127,0.30219999,07010202,Sauk River,0701020202,07010202020,070102020201,0701020202-01,Ashley Creek,UM,FALSE,51,NCHF,51l,251,251B,251Ba,,,Glenwood Area,,North,7,Low Gradient,7,Prairie Streams GP,65.9,13.8,79.7,4.1,4.3,8.2,3.7,0,83.8,100,nlcd2001,50.40383983
08UM001,Sauk River,Upstream of CR 4 in Waite Park,45.56471203,-94.23127617,Stearns,MN,1037.866348,0.651600003,07010202,Sauk River,0701020206,07010202080,070102020607,0701020206-01,Lower Sauk River,UM,FALSE,51,NCHF,51h,222,222M,222Mc,,,Montrose Area,,North,4,Northern Rivers,2,Prairie Forest Rivers,50.1,27.4,77.5,5.6,8.8,3.5,4.6,0,83.1,100,nlcd2001,47.92204452
08UM023,Trib. to Stony Creek,"Upstream of 343rd Ave, 1 mi. N of Spring Hill",45.53983631,-94.82471583,Stearns,MN,7.794244276,4.316800117,07010202,Sauk River,0701020205,07010202070,070102020505,0701020205-01,Middle Sauk River,UM,FALSE,51,NCHF,51l,251,251B,251Ba,,,Montrose Area,,North,6,Northern Headwaters,7,Prairie Streams GP,63.9,25.2,89.1,3.4,5.6,1.6,0.2,0,92.5,99.9,nlcd2001,37.68714666
08UM022,Stony Creek,"Upstream of 325th Ave, 2 mi. NE of Spring Hill",45.53840116,-94.78897607,Stearns,MN,25.34119742,2.548599958,07010202,Sauk River,0701020205,07010202070,070102020505,0701020205-01,Middle Sauk River,UM,FALSE,51,NCHF,51l,251,251B,251Ba,,,Montrose Area,proposed use class change (2010 assessment year) from warmwater to coldwater,North,11,Northern Coldwater,9,Southern Coldwater,67.2,23,90.2,4.4,3.2,1.7,0.5,0,94.6,100,nlcd2001,40.37610985
08UM033,Sauk River,"At Hwy 4, 2.5 mi. W of Melrose",45.68025003,-94.87731001,Stearns,MN,418.7781773,0.168099999,07010202,Sauk River,0701020203,07010202040,070102020304,0701020203-01,Upper Sauk River,UM,FALSE,51,NCHF,51l,251,251B,251Ba,,,Montrose Area,,North,5,Northern Streams,5,Southern Streams RR,51.6,25.3,76.9,5.3,7.1,5.2,5.4,0,82.2,99.9,nlcd2001,54.9378821
08UM012,Trib. to Sauk River,"Downstream of 260th St, 5 mi. NW of Richmond",45.49776661,-94.61450483,Stearns,MN,15.63018758,3.334199905,07010202,Sauk River,0701020205,07010202080,070102020507,0701020205-01,Middle Sauk River,UM,FALSE,51,NCHF,51k,222,222M,222Ma,,,Montrose Area,,North,6,Northern Headwaters,6,Southern Forest Streams GP,60.4,27.9,88.3,3.6,5.8,0.9,1.3,0,91.9,99.9,nlcd2001,47.73059153
08UM031,Adley Creek,"Upstream of CR 169, 3 mi. NE of Melrose",45.71781714,-94.78406226,Stearns,MN,83.7928171,0.300300002,07010202,Sauk River,0701020204,07010202050,070102020404,0701020204-01,Adley Creek,UM,FALSE,51,NCHF,51k,222,222M,222Ma,,,Montrose Area,,North,5,Northern Streams,6,Southern Forest Streams GP,38.6,29.2,67.8,3.9,17.9,2.4,8,0,71.7,100,nlcd2001,53.81562357
08UM052,Trout Creek,"Upstream of Clayhill Rd, 8 mi. NW of Sauk Centre",45.84684078,-94.84639387,Todd,MN,6.760455746,2.432899952,07010202,Sauk River,0701020204,07010202050,070102020401,0701020204-01,Adley Creek,UM,FALSE,51,NCHF,51k,222,222M,222Ma,,,Little Falls Area,,North,11,Northern Coldwater,9,Southern Coldwater,76.3,16.8,93.1,4.3,1.9,0.2,0.4,0.2,97.6,100.1,nlcd2001,50.53173402
08UM048,Fairfield Creek,"Upstream of Hope Rd, 2 mi. E of Nelson",45.88488967,-95.22387556,Douglas,MN,28.24588257,0.732599974,07010202,Sauk River,0701020201,07010202010,070102020101,0701020201-02,Crooked Lake Ditch,UM,FALSE,51,NCHF,51l,251,251B,251Ba,,,Glenwood Area,,North,6,Northern Headwaters,,,55.7,23.1,78.8,5.1,7.8,4.3,4,0,83.9,100,nlcd2001,37.13692055
08UM013,Trib. to unnamed creek,"Upstream of CR 41, 6 mi. NW of Richmond",45.52107853,-94.60033581,Stearns,MN,7.164936367,3.541399956,07010202,Sauk River,0701020205,07010202080,070102020507,0701020205-01,Middle Sauk River,UM,FALSE,51,NCHF,51k,222,222M,222Ma,,,Montrose Area,,North,6,Northern Headwaters,6,Southern Forest Streams GP,55.7,29.6,85.3,3.8,8.1,1.2,1.6,0,89.1,100,nlcd2001,29.84631842
08UM010,Trib. to Browns Lake,"Downstream of CR 21, 2.5 mi. N of Eden Valley",45.36968099,-94.53579381,Stearns,MN,39.9706082,0.246000007,07010202,Sauk River,0701020206,07010202100,070102020602,0701020206-03,Long Lake,UM,FALSE,51,NCHF,51k,222,222M,222Ma,,,Montrose Area,,North,7,Low Gradient,5,Southern Streams RR,64.3,23,87.3,5.4,4.1,1,2.2,0,92.7,100,nlcd2001,40.28940168
08UM036,Trib. to Hoboken Creek,"Upstream of CR 183, 5 mi. SW of Sauk Centre",45.70233006,-95.04734765,Stearns,MN,8.951044953,3.141400099,07010202,Sauk River,0701020203,07010202030,070102020301,0701020203-01,Upper Sauk River,UM,FALSE,51,NCHF,51l,251,251B,251Ba,,,Montrose Area,,North,6,Northern Headwaters,7,Prairie Streams GP,75.5,17.1,92.6,3.2,2.2,1.7,0.2,0,95.8,99.9,nlcd2001,25.47464279
08UM020,Trib. to Sauk River,"Downstream of 260th St, 3.5 mi. SE of Spring Hill",45.49759604,-94.76127849,Stearns,MN,4.611565572,11.74450016,07010202,Sauk River,0701020205,07010202080,070102020506,0701020205-01,Middle Sauk River,UM,FALSE,51,NCHF,51l,251,251B,251Ba,,,Montrose Area,,North,6,Northern Headwaters,,,66.7,24.9,91.6,3.8,1.9,2.4,0.2,0,95.4,99.9,nlcd2001,44.4371423
08UM053,Unnamed ditch,"Downstream of CR 19, 0.5 mi. SW of Lake Henry",45.45572592,-94.80996922,Stearns,MN,1.782286174,1.539600015,07010202,Sauk River,0701020205,07010202080,070102020506,0701020205-01,Middle Sauk River,UM,FALSE,51,NCHF,51l,251,251B,251Ba,,,Montrose Area,,North,6,Northern Headwaters,,,60.9,9.6,70.5,1.9,6,3.8,17.7,0,72.4,99.9,nlcd2001,41.79063677
08UM047,Trib. to Crooked Lake Ditch,"Upstream of CR 73, 2.5 mi. NE of Nelson",45.91913117,-95.23610249,Douglas,MN,8.942010162,2.127199888,07010202,Sauk River,0701020201,07010202010,070102020101,0701020201-02,Crooked Lake Ditch,UM,FALSE,51,NCHF,51l,222,222M,222Ma,,,Glenwood Area,,North,6,Northern Headwaters,6,Southern Forest Streams GP,55.7,22.8,78.5,5.3,10.9,2.2,3.2,0,83.8,100.1,nlcd2001,39.33129332
