FishIBIRegion,StationCode,CollectionDate,GearCombo,StreamWidth,PercentSlope,FishSampleID_IDNR,GearRun_IDNR,ShockTime,SeineHauls,IEPA_HabitatLength,IEPA_FishReachLength
10,OI-15,7/26/2002,1BE--1SH--2BE,50,0.02784,1658,1BE,30,,,
10,OI-15,7/26/2002,1BE--1SH--2BE,50,0.02784,1658,1SH,,2,,
10,OI-15,7/26/2002,1BE--1SH--2BE,50,0.02784,1658,2BE,30,,,
10,OI-14,7/29/2002,1BE--1SH--2BE,48,0.034469999,1659,1BE,15,,,
10,OI-14,7/29/2002,1BE--1SH--2BE,48,0.034469999,1659,1SH,,2.200000048,,
10,OI-14,7/29/2002,1BE--1SH--2BE,48,0.034469999,1659,2BE,15,,,
10,OIB-02,7/15/2002,1ES,38,0.04981,1660,1ES,43,,500,
10,OIB-01,7/15/2002,1ES,17,0.090149999,1661,1ES,38,,470,
10,OID-05,7/18/2002,1ES,27,0.027079999,1662,1ES,46.40000153,,560,
10,OID-04,7/16/2002,1ES,25,0.078979999,1663,1ES,48,,600,
10,OIJ-01,7/16/2002,1ES,27,0.210419998,1664,1ES,33,,470,
10,OIL-03,7/17/2002,1ES,29,0.04981,1665,1ES,48.20000076,,500,
10,OIM-02,7/17/2002,1ES,23,0.072920002,1666,1ES,49,,500,
10,OJ-12,7/22/2002,1ES,35,0.031629998,1668,1ES,33,,460,
10,OJA-01,7/22/2002,1ES,23,0.035039999,1669,1ES,50,,460,
10,O-20,9/26/2003,1BE--2BE,80,,1674,1BE,30,,,
10,O-20,9/26/2003,1BE--2BE,80,,1674,2BE,30,,,
7,EI-02,8/19/2003,1BE--1SH--2BE,120,0.043000001,1676,1BE,30,,,
7,EI-02,8/19/2003,1BE--1SH--2BE,120,0.043000001,1676,1SH,,4,,
7,EI-02,8/19/2003,1BE--1SH--2BE,120,0.043000001,1676,2BE,30,,,
7,EI-17,8/19/2003,1BE--1SH--2BE,80,0.018939,1677,1BE,30,,,
7,EI-17,8/19/2003,1BE--1SH--2BE,80,0.018939,1677,1SH,,2.700000048,,
7,EI-17,8/19/2003,1BE--1SH--2BE,80,0.018939,1677,2BE,30,,,
7,EI-11,8/20/2003,1BE--1SH--2BE,89,,1678,1BE,32,,,
7,EI-11,8/20/2003,1BE--1SH--2BE,89,,1678,1SH,,4.199999809,,
7,EI-11,8/20/2003,1BE--1SH--2BE,89,,1678,2BE,30,,,
7,EI-12,8/21/2003,1BE--1SH--2BE,50,,1679,1BE,20,,,
7,EI-12,8/21/2003,1BE--1SH--2BE,50,,1679,1SH,,2,,
7,EI-12,8/21/2003,1BE--1SH--2BE,50,,1679,2BE,15,,,
7,EI-07,7/7/2003,1ES,20,0.04981,1680,1ES,32.40000153,,480,
7,EID-01,8/21/2003,1BE--1SH--2BE,71,0.073859997,1681,1BE,30,,,
7,EID-01,8/21/2003,1BE--1SH--2BE,71,0.073859997,1681,1SH,,4.400000095,,
7,EID-01,8/21/2003,1BE--1SH--2BE,71,0.073859997,1681,2BE,30,,,
7,EID-15,8/14/2003,1ES,64,0.075759999,1682,1ES,64.5,,790,
7,EID-16,8/18/2003,1ES,40,0.157769993,1683,1ES,45.5,,600,
7,EIDA-01,8/12/2003,1ES,31,0.027852001,1684,1ES,49.5,,450,
7,EIDB-02,8/7/2003,1ES,33,0.128790006,1685,1ES,70.40000153,,730,
7,EIDC-01,8/6/2003,1ES,26,0.135230005,1686,1ES,48.59999847,,580,
7,EIDE-01,8/6/2003,1ES,22,0.035039999,1687,1ES,45.59999847,,430,
7,EIE-10,8/20/2003,1BE--1SH--2BE--2SH,40,0.069700003,1688,1BE,30,,,
7,EIE-10,8/20/2003,1BE--1SH--2BE--2SH,40,0.069700003,1688,1SH,,4,,
7,EIE-10,8/20/2003,1BE--1SH--2BE--2SH,40,0.069700003,1688,2BE,30,,,
7,EIE-10,8/20/2003,1BE--1SH--2BE--2SH,40,0.069700003,1688,2SH,,2.200000048,,
7,EIE-08,8/11/2003,1ES,40,,1689,1ES,73.30000305,,,
7,EIEE-01,8/7/2003,1ES,23,0.183709994,1690,1ES,46,,440,
7,EIF-01,8/13/2003,1ES,24,0.063069999,1692,1ES,43.79999924,,585,
7,EIG-01,8/5/2003,1ES,35,0.031629998,1693,1ES,33.40000153,,600,
7,EIGB-01,8/13/2003,1ES,24,0.04981,1694,1ES,43.70000076,,450,
7,EIH-01,7/29/2003,1ES,22,0.236739993,1695,1ES,51.75,,535,
7,EII-01,8/8/2003,1ES,21,0.31565699,1696,1ES,44.79999924,,480,
7,EIJ-02,8/18/2003,1ES,25,0.054170001,1697,1ES,28,,,
10,II-05,7/12/2004,1BE--2BE,42,0.03049,1698,1BE,30,,,
10,II-05,7/12/2004,1BE--2BE,42,0.03049,1698,2BE,30,,,
10,II-03,7/14/2004,1BE--1SH--2BE--2SH,40,0.05057,1699,1BE,30,,,
10,II-03,7/14/2004,1BE--1SH--2BE--2SH,40,0.05057,1699,1SH,,1.200000048,,
10,II-03,7/14/2004,1BE--1SH--2BE--2SH,40,0.05057,1699,2BE,30,,,
10,II-03,7/14/2004,1BE--1SH--2BE--2SH,40,0.05057,1699,2SH,,1,,
10,II-02,7/13/2004,1ES,20,0.111359999,1700,1ES,34,,470,
10,IIB-40,7/12/2004,1ES,23,0.114770003,1701,1ES,29.39999962,,520,
10,IIC-01,7/13/2004,1ES,18,0.118369997,1702,1ES,21.5,,370,
10,O-20,10/4/2005,1BE--2BE,85,,1708,1BE,30,,,
10,O-20,10/4/2005,1BE--2BE,85,,1708,2BE,30,,,
10,O-07,9/1/2005,1BE--2BE,75,0.018568,1709,1BE,30,,,
10,O-07,9/1/2005,1BE--2BE,75,0.018568,1709,2BE,30,,,
10,O-97,8/28/2007,1BE--2BE,400,,1711,1BE,30,,,
10,O-97,8/28/2007,1BE--2BE,400,,1711,2BE,30,,,
10,O-20,9/27/2007,1BE--2BE,115,,1714,1BE,30,,,
10,O-20,9/27/2007,1BE--2BE,115,,1714,2BE,30,,,
10,O-25,8/30/2007,1BE--2BE,113,,1715,1BE,30,,,
10,O-25,8/30/2007,1BE--2BE,113,,1715,2BE,30,,,
10,O-07,8/30/2007,1BE--2BE,114,0.018568,1716,1BE,30,,,
10,O-07,8/30/2007,1BE--2BE,114,0.018568,1716,2BE,30,,,
10,OA-01,7/23/2007,1ES,18,0.180374995,1717,1ES,30,,500,500
10,OZC-01,7/27/2007,1ES,21,0.070146002,1718,1ES,42,,565,565
10,OZD-01,7/24/2007,1ES,18,0.059,1719,1ES,25,,300,300
10,OC-86,8/8/2007,1BE,35,0.052299999,1720,1BE,30,,,
10,OC-04,8/9/2007,1ES,24,0.054113001,1721,1ES,34.20000076,,550,550
10,OCB-99,7/10/2007,1ES,20,0.473484993,1722,1ES,40.59999847,,500,535
10,OCC-98,7/10/2007,1ES,14,0.270563006,1723,1ES,23,,500,400
10,OD-07,7/26/2007,1BE--1SH--2BE,47,0.014458,1724,1BE,30,,,
10,OD-07,7/26/2007,1BE--1SH--2BE,47,0.014458,1724,1SH,,3,,
10,OD-07,7/26/2007,1BE--1SH--2BE,47,0.014458,1724,2BE,30,,,
10,OD-09,7/31/2007,1ES,26,0.032653999,1725,1ES,34.29999924,,600,600
10,ODLA-01,7/25/2007,1ES,15,0.105218999,1726,1ES,24.79999924,,330,375
10,OE-05,7/24/2007,1ES,18,0.029999999,1727,1ES,21.20000076,,372,372
10,OG-01,7/26/2007,1ES,20,0.063130997,1728,1ES,21,,350,355
10,OH-01,7/30/2007,1BE,35,0.03382,1729,1BE,30,,,
10,OI-05,7/30/2007,1BE--1SH--2BE,60,0.025253,1730,1BE,30,,,
10,OI-05,7/30/2007,1BE--1SH--2BE,60,0.025253,1730,1SH,,1.600000024,,
10,OI-05,7/30/2007,1BE--1SH--2BE,60,0.025253,1730,2BE,30,,,
10,OI-15,7/31/2007,1ES,46,0.027852001,1731,1ES,34,,522,522
10,OI-07,8/1/2007,1ES,32,0.034435,1732,1ES,53,,600,612
10,OIB-02,8/8/2007,1ES,27,0.049841002,1733,1ES,35,,375,375
10,OIBA-01,5/30/2007,1PE--1SH,16,0.052609,1734,1PE,23.5,,500,500
10,OIBA-01,5/30/2007,1PE--1SH,16,0.052609,1734,1SH,,4.800000191,500,500
10,OIC-02,5/30/2007,1ES,13,0.172176003,1735,1ES,39.20000076,,660,660
10,OID-05,7/25/2007,1ES,27,0.027055999,1736,1ES,50,,548,548
10,OIG-01,8/1/2007,1ES,21,0.144500002,1737,1ES,36,,500,585
10,OIL-03,8/2/2007,1ES,35,0.049841002,1738,1ES,32,,450,450
10,OIM-02,8/2/2007,1ES,35,0.072843999,1739,1ES,24,,500,500
10,OJ-08,8/7/2007,1BE,66,0.023096999,1740,1BE,30,,,
10,OJA-01,8/6/2007,1ES,23,0.035073001,1741,1ES,35.70000076,,428,428
10,OJB-02,8/7/2007,1ES,32,0.039457001,1742,1ES,37,,450,584
10,OJBA-03,5/29/2007,1SH,13,0.094999999,1743,1SH,,8,540,540
10,OJC-03,8/6/2007,1ES,23,0.055,1744,1ES,29.5,,400,330
7,EI-02,9/10/2008,1BE--1SH--2BE,150,0.043000001,1745,1BE,30,,,
7,EI-02,9/10/2008,1BE--1SH--2BE,150,0.043000001,1745,1SH,,2.799999952,,
7,EI-02,9/10/2008,1BE--1SH--2BE,150,0.043000001,1745,2BE,30,,,
7,EI-17,9/10/2008,1BE--1SH--2BE,117,0.018939,1746,1BE,30,,,
7,EI-17,9/10/2008,1BE--1SH--2BE,117,0.018939,1746,1SH,,2,,
7,EI-17,9/10/2008,1BE--1SH--2BE,117,0.018939,1746,2BE,30,,,
7,EI-06,9/3/2008,1BE--1SH--2BE,43,0.039457001,1747,1BE,30,,,
7,EI-06,9/3/2008,1BE--1SH--2BE,43,0.039457001,1747,1SH,,2,,
7,EI-06,9/3/2008,1BE--1SH--2BE,43,0.039457001,1747,2BE,30,,,
7,EI-07,8/14/2008,1ES,20,0.049841002,1748,1ES,31.39999962,,500,
7,EID-01,8/19/2008,1BE--1SH--2BE,50,0.074000001,1749,1BE,30,,,
7,EID-01,8/19/2008,1BE--1SH--2BE,50,0.074000001,1749,1SH,,2,,
7,EID-01,8/19/2008,1BE--1SH--2BE,50,0.074000001,1749,2BE,30,,,
7,EID-15,8/5/2008,1ES,65,0.075758003,1750,1ES,60,,720,
7,EID-16,7/17/2008,1ES,45,0.157828003,1751,1ES,36,,625,
7,EIDA-01,7/21/2008,1ES,32,0.169,1752,1ES,25,,445,
7,EIDB-02,8/4/2008,1ES,28,0.063100003,1753,1ES,27,,400,
7,EIDC-01,7/21/2008,1ES,26,0.135280997,1754,1ES,38,,582,
7,EIDE-01,7/17/2008,1ES,25,0.035073001,1755,1ES,29.29999924,,450,
7,EIE-10,9/8/2008,1BE--1SH--2BE,61,0.0557,1756,1BE,30,,,
7,EIE-10,9/8/2008,1BE--1SH--2BE,61,0.0557,1756,1SH,,2,,
7,EIE-10,9/8/2008,1BE--1SH--2BE,61,0.0557,1756,2BE,30,,,
7,EIE-08,8/14/2008,1ES,51,0.086099997,1757,1ES,60,,,
7,EIEE-01,8/4/2008,1ES,25,0.184,1758,1ES,26.64999962,,378,
7,EIF-01,8/5/2008,1ES,28,0.063130997,1759,1ES,36,,600,
7,EIG-01,8/12/2008,1ES,32,0.031566001,1760,1ES,43.25,,550,
7,EIH-01,7/29/2008,1ES,25,0.236742005,1761,1ES,46.20000076,,570,
7,EII-01,7/29/2008,1ES,25,0.31565699,1762,1ES,55.90000153,,525,
7,EIJ-02,8/18/2008,1ES,35,0.181999996,1763,1ES,36.59999847,,625,
10,JD-02,7/26/2010,1ES,18,0.473484993,1788,1ES,32.59999847,,500,540
10,JH-04,7/27/2010,1ES,33,0.631313026,1789,1ES,42,,600,600
10,JMAA-03,7/27/2010,1ES,14,0.611000001,1791,1ES,22.20000076,,350,300
10,JMAC-02,8/4/2010,1SH,22,0.172176003,1792,1SH,,5.5,385,
10,JN-02,8/4/2010,1ES,18,0.026304999,1793,1ES,14.69999981,,300,300
10,JQ-05,8/5/2010,1ES,42,0.038651999,1796,1ES,36,,700,700
10,JQ-04,7/29/2010,1ES,34,0.086088002,1797,1ES,30.20000076,,530,505
10,JQE-01,7/29/2010,1ES,20,0.125,1798,1ES,28.60000038,,510,530
10,JR-02,9/8/2010,1ES,52,0.067640997,1799,1ES,30,,640,642
10,JRA-02,7/28/2010,1SH,26,0.189393997,1800,1SH,,5.599999905,500,510
10,JRB-01,8/2/2010,1ES,30,0.172000006,1801,1ES,25.60000038,,435,435
10,JV-02,8/2/2010,1ES,30,0.208000004,1802,1ES,22.75,,550,530
10,JVA-01,9/8/2010,1ES,20,0.002,1803,1ES,25,,435,435
11,C-01,8/19/1999,1BE--1SH--2BE,169,0.018939,5618,1BE,30,,,
11,C-01,8/19/1999,1BE--1SH--2BE,169,0.018939,5618,1SH,,3,,
11,C-01,8/19/1999,1BE--1SH--2BE,169,0.018939,5618,2BE,30,,,
11,C-02,8/18/1999,1BE--1SH--2BE,195,0.005937,5619,1BE,30,,,
11,C-02,8/18/1999,1BE--1SH--2BE,195,0.005937,5619,1SH,,5,,
11,C-02,8/18/1999,1BE--1SH--2BE,195,0.005937,5619,2BE,30,,,
11,C-33,8/18/1999,1BE--2BE,94,0.006051,5620,1BE,30,,,
11,C-33,8/18/1999,1BE--2BE,94,0.006051,5620,2BE,30,,,
11,BC-02,7/28/1999,1BE--2BE,41,0.01553,5621,1BE,30,,,
11,BC-02,7/28/1999,1BE--2BE,41,0.01553,5621,2BE,30,,,
11,CH-03,7/29/1999,1BE--2BE,75,0.032827999,5622,1BE,30,,,
11,CH-03,7/29/1999,1BE--2BE,75,0.032827999,5622,2BE,30,,,
11,CH-11,7/28/1999,1BE--1SH--2BE,47,0.01932,5624,1BE,21,,,
11,CH-11,7/28/1999,1BE--1SH--2BE,47,0.01932,5624,1SH,,3,,
11,CH-11,7/28/1999,1BE--1SH--2BE,47,0.01932,5624,2BE,19,,,
11,CD-04,7/26/1999,1BE--1SH,47,0.020640001,5625,1BE,50,,,
11,CD-04,7/26/1999,1BE--1SH,47,0.020640001,5625,1SH,,1,,
11,CM-02,7/15/1999,1ES,26,,5630,1ES,45,,700,
11,CDF-02,7/15/1999,1ES,17,0.067640997,5631,1ES,34,,580,
11,CO-01,7/14/1999,1ES,16,0.0557,5632,1ES,21.67000008,,390,
11,C-21,7/13/1999,1BE--1SH--2BE,71,0.050675999,5634,1BE,60,,,
11,C-21,7/13/1999,1BE--1SH--2BE,71,0.050675999,5634,1SH,,3,,
11,C-21,7/13/1999,1BE--1SH--2BE,71,0.050675999,5634,2BE,30,,,
11,CP-04,7/13/1999,1ES,24,0.123669997,5635,1ES,31,,580,
11,CT-01,7/12/1999,1ES,30,0.086170003,5636,1ES,44.70000076,,750,
11,CS-12,7/12/1999,1ES,20,0.132579997,5637,1ES,40.33000183,,600,
10,NH-26,8/17/2000,1BE--2BE,79,0.032653999,5639,1BE,25,,,
10,NH-26,8/17/2000,1BE--2BE,79,0.032653999,5639,2BE,35,,,
10,NE-05,8/16/2000,1BE--2BE,56,0.019936001,5640,1BE,40,,,
10,NE-05,8/16/2000,1BE--2BE,56,0.019936001,5640,2BE,20,,,
10,NC-03,8/16/2000,1BE--1SH--2BE,50,0.03712,5641,1BE,35,,,
10,NC-03,8/16/2000,1BE--1SH--2BE,50,0.03712,5641,1SH,,1,,
10,NC-03,8/16/2000,1BE--1SH--2BE,50,0.03712,5641,2BE,35,,,
10,NJ-07,7/27/2000,1BE--2BE,38,0.040339999,5642,1BE,30,,,
10,NJ-07,7/27/2000,1BE--2BE,38,0.040339999,5642,2BE,30,,,
10,ND-14,7/26/2000,1ES,20,0.016613999,5644,1ES,35.5,,470,
10,NHB-01,7/26/2000,1ES,24,0.094700001,5645,1ES,43,,590,
12,NDC-01,7/25/2000,1ES,19,0.110250004,5646,1ES,24.39999962,,370,
10,NK-02,7/18/2000,1ES,21,0.057390001,5648,1ES,44,,630,
10,NCE-02,7/24/2000,1ES,21,0.063069999,5649,1ES,53.5,,560,
10,N-05,7/17/2000,1ES,23,0.044130001,5650,1ES,35.90000153,,600,
10,NJC-01,7/17/2000,1ES,14,0.075758003,5651,1ES,38.5,,450,
10,NL-01,7/18/2000,1ES,23,0.082390003,5652,1ES,49,,520,
10,NE-04,7/27/2000,1BE,34,0.022539999,5653,1BE,40,,,
10,NC-09,7/24/2000,1ES,28,0.094700001,5654,1ES,33.20000076,,530,
10,NH-07,9/5/2000,1BE--2BE,40,0.042989999,5655,1BE,30,,,
10,NH-07,9/5/2000,1BE--2BE,40,0.042989999,5655,2BE,30,,,
10,N-12,9/6/2000,1BE--2BE,110,0.0087,5657,1BE,30,,,
10,N-12,9/6/2000,1BE--2BE,110,0.0087,5657,2BE,30,,,
10,N-06,9/22/2000,1BE--2BE,67,0.040297002,5659,1BE,30,,,
10,N-06,9/22/2000,1BE--2BE,67,0.040297002,5659,2BE,30,,,
10,NCN-02,7/11/2000,1ES,24,0.0339,5660,1ES,35.70000076,,430,
11,C-21,7/30/2001,1BE--1SH--2BE,71,0.050675999,5662,1BE,35,,,
11,C-21,7/30/2001,1BE--1SH--2BE,71,0.050675999,5662,1SH,,1,,
11,C-21,7/30/2001,1BE--1SH--2BE,71,0.050675999,5662,2BE,30,,,
11,C-33,7/31/2001,1BE--2BE,94,0.006051,5663,1BE,30,,,
11,C-33,7/31/2001,1BE--2BE,94,0.006051,5663,2BE,30,,,
11,C-22,7/31/2001,1BE--2BE,56,0.023096999,5664,1BE,30,,,
11,C-22,7/31/2001,1BE--2BE,56,0.023096999,5664,2BE,30,,,
11,CA-09,7/23/2001,1ES,24,0.086170003,5667,1ES,30.5,,560,
11,CAW-04,7/23/2001,1ES,21,0.039390001,5668,1ES,41.83000183,,800,
11,CAN-01,7/24/2001,1ES,37,0.094700001,5669,1ES,30.72999954,,650,
11,CAR-01,7/24/2001,1ES,20,0.06837,5670,1ES,32.77999878,,400,
11,CAGC-01,7/25/2001,1ES,27,0.047350001,5671,1ES,31.78000069,,1000,
11,CAJ-01,7/25/2001,1ES,25,0.02784,5672,1ES,16.82999992,,600,
11,CA-08,7/26/2001,1BE--1SH--2BE,47,0.03049,5673,1BE,30,,,
11,CA-08,7/26/2001,1BE--1SH--2BE,47,0.03049,5673,1SH,,4,,
11,CA-08,7/26/2001,1BE--1SH--2BE,47,0.03049,5673,2BE,30,,,
11,CA-03,8/13/2001,1BE--2BE,86,0.005427,5674,1BE,30,,,
11,CA-03,8/13/2001,1BE--2BE,86,0.005427,5674,2BE,30,,,
11,CA-02,8/13/2001,1BE--2BE,54,0.016100001,5675,1BE,30,,,
11,CA-02,8/13/2001,1BE--2BE,54,0.016100001,5675,2BE,30,,,
11,CA-07,8/14/2001,1BE--1SH--2BE,48,0.02008,5676,1BE,40,,,
11,CA-07,8/14/2001,1BE--1SH--2BE,48,0.02008,5676,1SH,,3,,
11,CA-07,8/14/2001,1BE--1SH--2BE,48,0.02008,5676,2BE,20,,,
11,CJA-02,8/5/2002,1ES,27,0.029549999,5677,1ES,37.68000031,,560,
11,CJ-06,8/5/2002,1ES,21,0.051520001,5678,1ES,35.83000183,,560,
11,BZK-01,8/12/2002,1ES,34,0.03788,5680,1ES,34.18000031,,530,
11,C-33,8/12/2002,1BE--2BE,96,0.006051,5681,1BE,30,,,
11,C-33,8/12/2002,1BE--2BE,96,0.006051,5681,2BE,30,,,
11,BC-04,8/7/2002,1ES,11,0.03788,5682,1ES,27.43000031,,550,
11,CH-11,8/6/2002,1BE--1SH--2BE,55,0.01932,5683,1BE,30,,,
11,CH-11,8/6/2002,1BE--1SH--2BE,55,0.01932,5683,1SH,,1,,
11,CH-11,8/6/2002,1BE--1SH--2BE,55,0.01932,5683,2BE,30,,,
11,C-02,8/13/2002,1BE--2BE,136,0.005937,5684,1BE,30,,,
11,C-02,8/13/2002,1BE--2BE,136,0.005937,5684,2BE,30,,,
11,C-01,8/13/2002,1BE--2BE,179,0.018939,5685,1BE,40,,,
11,C-01,8/13/2002,1BE--2BE,179,0.018939,5685,2BE,20,,,
11,C-22,8/6/2002,1BE--1SH--2BE,47,0.02311,5686,1BE,30,,,
11,C-22,8/6/2002,1BE--1SH--2BE,47,0.02311,5686,1SH,,2,,
11,C-22,8/6/2002,1BE--1SH--2BE,47,0.02311,5686,2BE,30,,,
11,BC-02,8/8/2002,1ES,32,0.015524,5687,1ES,24,,500,
11,CH-03,8/1/2002,1BE--2BE,80,0.032827999,5688,1BE,30,,,
11,CH-03,8/1/2002,1BE--2BE,80,0.032827999,5688,2BE,30,,,
11,CDF-02,8/1/2002,1ES,17,0.067610003,5689,1ES,30.60000038,,670,
11,CO-01,7/31/2002,1ES,16,,5691,1ES,33.77000046,,450,
11,C-21,7/30/2002,1BE--1SH--2BE,47,0.050760001,5693,1BE,40,,,
11,C-21,7/30/2002,1BE--1SH--2BE,47,0.050760001,5693,1SH,,2,,
11,C-21,7/30/2002,1BE--1SH--2BE,47,0.050760001,5693,2BE,30,,,
11,CS-12,7/29/2002,1ES,15,0.132579997,5694,1ES,49.61999893,,650,
11,CT-01,7/29/2002,1ES,33,0.086170003,5695,1ES,28.57999992,,620,
11,CP-04,7/29/2002,1ES,19,0.123669997,5696,1ES,31.87999916,,590,
11,CE-02,8/7/2002,1ES,14,0.07254,5697,1ES,20.72999954,,520,
11,CD-08,8/8/2002,1BE--2BE,48,,5698,1BE,30,,,
11,CD-08,8/8/2002,1BE--2BE,48,,5698,2BE,30,,,
10,NJ-10,7/7/2003,1ES,16,0.09962,5731,1ES,38.25,,700,
10,NE-09,7/8/2003,1ES,38,0.08918,5732,1ES,42.13000107,,530,
10,NEI-01,7/8/2003,1ES,20,0.118369997,5733,1ES,25.93000031,,590,
10,NH-07,7/9/2003,1BE--2BE,44,0.042989999,5734,1BE,30,,,
10,NH-07,7/9/2003,1BE--2BE,44,0.042989999,5734,2BE,30,,,
10,N-06,7/10/2003,1BE--2BE,83,0.040297002,5736,1BE,30,,,
10,N-06,7/10/2003,1BE--2BE,83,0.040297002,5736,2BE,30,,,
10,NH-23,7/10/2003,1BE--2BE,58,0.02197,5737,1BE,18.5,,,
10,NH-23,7/10/2003,1BE--2BE,58,0.02197,5737,2BE,41.5,,,
10,NCB-01,7/14/2003,1ES,10,0.118369997,5738,1ES,18.62999916,,500,
10,NC-03,7/15/2003,1BE--2BE,52,0.03712,5741,1BE,30,,,
10,NC-03,7/15/2003,1BE--2BE,52,0.03712,5741,2BE,30,,,
10,NC-11,7/15/2003,1BE--2BE,56,0.017867001,5742,1BE,25,,,
