StationCode,StreamName,Location,Latitude_DDeg,Longitude_DDeg,TYPE
AJ-08,BAY CREEK,WATKINS FORD T11S R5E,37.53603,-88.63124,STREAM
AJ-09,BAY CREEK,0.5 MI NW ROBBS,37.46263,-88.70742,STREAM
AJB-01,FLAT LICK BRANCH,TRAIL OF TEARS RD 1.1 MI N OF BROWNFIELD,37.362,-88.609,STREAM
AJD-01,SUGAR CREEK,STATE RT 145 BR 2.2 MI N OF DIXON SPRINGS,37.417,-88.671,STREAM
AJE-01,JOHNSON CREEK,REEVESVILLE RD 1.8 MI W OF GRANTSBURG,37.387,-88.779,STREAM
AJF-01,CEDAR CREEK,2 MI N SIMPSON GUM SPRINGS ROAD,37.49527778,-88.75777778,STREAM
AJF-02,CEDAR CREEK,1.4 MI W OF FLATWOODS AT SHAWNEE CORR CENTER RD,37.434444,-88.76444,STREAM
AJFA-21,MAX CREEK,2 MI SW SIMPSON,37.44726,-88.7763,STREAM
AJG-17,HAYES CREEK,RT 145 BR 2 MI E GLENDALE,37.46343,-88.63042,STREAM
AJG-18,HAYES CREEK,1.5 MI S ROBBS,37.44274,-88.70065,STREAM
AJK-01,BAY CREEK DITCH,0.3 MI E HOLMES CORNER,37.32486,-88.63359,STREAM
AK-02,LUSK CREEK,"EDDYVILLE RD BR, 3 MI SE OF SR 145 AND EDDYVILLE",37.47243,-88.54772,STREAM AMBIENT
AK-07,LUSK CREEK,2.5 MI ENE EDDYVILLE,37.50618,-88.5364,STREAM
AL-01,BIG GRAND PIERRE CREEK,RT 146 BR 2 MI W RT,37.45893,-88.43014,STREAM
ALA-11,LITTLE GRAND PIERRE CREEK,50 YDS UPS FROM RT 146,37.4452778,-88.465,STREAM
AN-01,THREEMILE CREEK,THREEMILE CREEK RD 1.8 MI NW OF ROSICLARE,37.442,-88.374,STREAM
AO-03,BIG CREEK,0.3 MI UPS CONFL WITH GOOSE CR,37.498,-88.32774,STREAM
AQ-02,PETERS CREEK,CO RD 925E 0.4 MI NW PETERS CREEK,37.49333333,-88.23944444,STREAM
AR-01,HANEY CREEK,4.7 MI NE CAVE-IN-ROCK CAMP ROAD,37.491111,-88.085278,STREAM
AT-01,SALINE RIVER,AT SALINE MINES,37.6139,-88.19726,STREAM
AT-05,SALINE RIVER,BR SE EQUALITY,37.72985,-88.34812,STREAM
ATB-01,HARRIS CREEK,HARRIS CREEK RD 1.4 MI SE OF CADIZ,37.565,-88.208,STREAM
ATBA-01,ROCK CREEK,ROCK CREEK RD 3 MI S OF CADIZ,37.537,-88.231,STREAM
ATE-07,EAGLE CREEK,1.3 MI E KEDRON AT PEABODY RD,37.66027778,-88.31583333,STREAM
ATF-03,NORTH FORK SALINE RIVER,RT 13 BR 0.3 MI NE EQUALITY,37.74373,-88.32994,STREAM
ATF-06,NORTH FORK SALINE RIVER,2.2 MI NW RIDGWAY,37.8144,-88.2984,STREAM
ATF-08,NORTH FORK SALINE RIVER,"BUFFALO RD BR, 0.25 MI E OF SCHOOL HOUSE RD AND 2.4 MI SE OF TEXAS CITY",37.8675556,-88.3508889,STREAM AMBIENT
ATFA-01,CRAWFORD CREEK,0.8 MI NW OF RIDGWAY AT CAMPGROUND ROAD,37.80527778,-88.27416667,STREAM
ATFD-01,BRUSH CREEK,COTTONWOOD RD 0.3 MI E OF TEXAS CITY,37.878,-88.387,STREAM
ATFE-01,RECTOR CREEK,4 MI N ELDORADO,37.88353,-88.43453,STREAM
ATFEA-01,LONG BRANCH,RALEIGH CHAPEL RD 5 MI N OF RALEIGH,37.899,-88.532,STREAM
ATFF-02,CONTRARY CREEK,2 MI SSE DALE,37.96573,-88.49436,STREAM
ATFFA-01,HOGG CREEK,CO RD 1000E 1.9 MI SW OF DALE,37.977,-88.522,STREAM
ATFH-01,WHEELER CREEK,2.8 MI E DALE,37.99478,-88.43856,STREAM
ATFJ-01,CANE CREEK,1.5 MI SW OF OMAHA,37.8683333,-88.3166667,STREAM
ATFJC-02,BEAR CREEK,WASHINGTON RD 1.6 MI W OF OMAHA,37.89,-88.331,STREAM
ATG-03,MIDDLE FORK SALINE RIVER,"INGRAM HILL RD BR, 0.3 MI E OF WATER HOLE RD AND 2.8 MI SE OF HARRISBURG",37.70778,-88.49194,STREAM AMBIENT
ATG-05,MIDDLE FORK SALINE RIVER,1.2 MI S GALATIA,37.81905,-88.61455,STREAM
ATGC-01,BANKSTON FORK,RT 34 BR 2.5 MI N HARRISBURG,37.76799,-88.54016,STREAM AMBIENT INACTIVE
ATGC-02,BANKSTON FORK,2 MI N CARRIER MILLS,37.72794,-88.63398,STREAM
ATGH-09,BANKSTON TRIB-BRUSHY CREEK,0.5 MI UPS BANKSTON FORK,37.76091,-88.60596,STREAM
ATH-02,SOUTH FORK SALINE RIVER,"SARAVILLE RD BR, 0.2 MI N OF STONEFORT RD AND 3.6 MI S OF CRAB ORCHARD",37.67778,-88.80331,STREAM AMBIENT INACTIVE
ATH-05,SOUTH FORK SALINE RIVER,RT 45 BR 4 MI SW CARRIER MILLS,37.6379,-88.67759,STREAM AMBIENT
ATH-11,SOUTH FORK SALINE RIVER,3.5 MI SE MARION AT RT 166 BR,37.67782,-88.86021,STREAM
ATHC-01,BATTLE FORD CREEK,1.4 MI SW MITCHELLSVILLE,37.63261,-88.55498,STREAM
ATHD-01,LITTLE SALINE RIVER,3 MI S CARRIER MILLS,37.63948,-88.62552,STREAM
ATHD-03,LITTLE SALINE RIVER,1.8 MI SSE STONEFORT,37.58858,-88.69808,STREAM
ATHE-01,POND CREEK,BATTLEFORD RD 0.4 MI E OF STONEFORT,37.613,-88.699,STREAM
ATHG-01,SUGAR CREEK,"STONEFORT RD (CR 12) BR, 0.4 MI N OF PALZO RD AND 4.7 MI NE OF CREAL SPRINGS",37.65511,-88.76338,STREAM AMBIENT
ATHG-02,SUGAR CREEK,0.5 MI E CREAL SPRING AT RT 166 BR,37.61687,-88.82806,STREAM
ATHG-03,SUGAR CREEK,1 MI ENE CREAL SPRINGS,37.62278,-88.81183,STREAM
ATHG-05,SUGAR CREEK,TYLER BR RD 3.4 MI  NE OF CREAL SPRINGS AND UPS OF PALZO AREA,37.65221,-88.78978,STREAM AMBIENT INACTIVE
ATZM-05,CYPRESS DITCH,PARKER RD 1.1 MI SW OF JUNCTION,37.717,-88.257,STREAM
BB-01,FRENCH CREEK,2 MI SW GRAYVILLE AT CO RD 2400N BR,38.23033,-88.01779,STREAM
BC-02,BONPAS CREEK,RT 15 BR 0.6 MI NE OF BROWNS,38.38635,-87.97538,STREAM AMBIENT INACTIVE
BC-04,BONPAS CREEK,5 MI NW WEST SALEM CO RD 2320N,38.55882,-87.9559,STREAM
BCE-02,LITTLE BONPAS CREEK,CO RD 2320N BR 1.8 MI NW LANCASTER,38.55916667,-87.89861111,STREAM
BD-01,COFFEE CREEK,3 MI NE KEENSBURG ON CO RD 850E RD,38.36158,-87.8303,STREAM
BD-02,COFFEE CREEK,CO RD 700E BR 1 MI NE KEENSBURG AND S OF RT 1,38.36138889,-87.85444444,STREAM
BE-03,EMBARRAS RIVER,RT 1 BR N EDGE LAWRENCEVILLE,38.73283,-87.68631,STREAM
BE-04,EMBARRAS RIVER,RT 130 NE EDGE NEWTON,38.99599,-88.14544,STREAM
BE-07,EMBARRAS RIVER,CO RD 1900 E BR (MAIN ST) N EDGE OF STE. MARIE,38.937,-88.02219,STREAM AMBIENT
BE-09,EMBARRAS RIVER,"CO RD 1400 N AT RYAN BR, 6 MI NE OF TOLEDO NEAR DIONA",39.34419,-88.17068,STREAM AMBIENT
BE-14,EMBARRAS RIVER,CO RD 1000 N BR (MAIN ST)W EDGE OF CAMARGO,39.79973,-88.17041,STREAM AMBIENT
BE-15,EMBARRAS RIVER,RT 121 BR GREENUP,39.25087,-88.1734,STREAM
BE-17,EMBARRAS RIVER,4 MI NW ASHMORE AT AIRTIGHT BR,39.55499,-88.08938,STREAM
BE-25,EMBARRAS RIVER,5 MI NE PESOTUM,39.9363889,-88.1911111,STREAM
BE-30,EMBARRAS RIVER,4 MI S CHARLESTON WALKER FD,39.4202778,-88.1775,STREAM
BE-36,EMBARRAS RIVER,2 MI S OF FALMOUTH,39.0530556,-88.1808333,STREAM
BE-96,EMBARRAS RIVER,0.25 MI DNS LAKE CHARLESTON,39.45714,-88.14699,STREAM
BEA-01,MUDDY CREEK-SOUTH,4 MI N BRIDGEPORT TWP RD,38.77038,-87.75994,STREAM
BEB-05,BRUSHY CREEK,CO RD 1650N BR 6 MI N LAWRENCEVILLE,38.814778,-87.67525,STREAM
BED-01,BIG CREEK,2.5 MI W HARDINVILLE,38.91621,-87.88361,STREAM
BED-03,BIG CREEK,4 MI E AND 2 MI N OBLONG,39.0491667,-87.8261111,STREAM
BED-04,BIG CREEK,1.5 MI E PIERCEBURG,38.9308389,-87.8819194,STREAM
BEDB-02,DOGWOOD CREEK,CO RD 900N BR 1.1 MI SE OBLONG,38.98236111,-87.88533333,STREAM
BEF-02,NORTH FORK EMBARRAS RIVER,5 MI SE CASEY TWP RD,39.26453,-87.90773,STREAM
BEF-03,NORTH FORK EMBARRAS RIVER,RT 33 BR W OBLONG,39.01023,-87.9466,STREAM
BEF-05,NORTH FORK EMBARRAS RIVER,CO RD 1050 N BR 2 MI W OF OBLONG,39.00017,-87.9448,STREAM AMBIENT
BEF-08,NORTH FORK EMBARRAS RIVER,1.5 MI NW MARTINSVILLE,39.3513889,-87.9027778,STREAM
BEFA-04,WILLOW CREEK,CO RD 1500N BR 4.5 MI N OF OBLONG,39.071111,-87.923056,STREAM
BEH-01,MINT CREEK,CO RD 760E BR 4.3 MI ENE OF WHEELER,39.05542,-88.23356,STREAM
BEI-01,RANGE CREEK,2 MI NNW HILDAGO AT LOW WATER FORD,39.1794444,-88.1633333,STREAM
BEJ-03,MUDDY CREEK-NORTH,0.7 MI N WOODBURY,39.20521,-88.29403,STREAM
BEJ-06,MUDDY CREEK-NORTH,CO RD 600N BR 4.7 MI N WOODBURY,39.25855556,-88.30333333,STREAM
BEL-01,HURRICANE CREEK,4 MI N GREENUP AT RT 130 BR,39.30726,-88.13906,STREAM
BEL-03,HURRICANE CREEK,3 MI N UNION CENTER,39.3767361,-88.0830556,STREAM
BEN-01,KICKAPOO CREEK,1 MI SSW CHARLESTON,39.46252,-88.19315,STREAM
BEN-02,KICKAPOO CREEK,"CR 1320 E BR, 0.3 MI N OF CR 590 N AND 2 MI SW OF CHARLESTON",39.465059,-88.23024,STREAM
BENA-01,RILEY CREEK,0.5 MI W CHARLESTON TWP RD,39.47619,-88.20609,STREAM
BENA-02,RILEY CREEK,2.1 MI N OF COLES AIRPORT,39.5105556,-88.29,STREAM
BENA-03,RILEY CREEK,1.2 MI W OF CHARLESTON,39.4866667,-88.2097222,STREAM
BENC-01,RILEY-CASSELL CREEK,POLK AVE 0.5 MI W CHARLESTON,39.48776,-88.2094,STREAM
BEO-01,POLECAT CREEK,3.5 MI SW ASHMORE TWP RD,39.50559,-88.07242,STREAM
BEP-02,LITTLE EMBARRAS RIVER,5.5 MI N ASHMORE,39.6158333,-88.0261111,STREAM
BEPC-01,DONICA CREEK,"CO RD 2700E, 2.5 MI SE OF OAKLAND",39.634,-87.984,STREAM
BEPD-01,CATFISH CREEK,1.5 MI NNE BORTON TWP RD,39.67304,-87.9268,STREAM
BEPH-01,HICKORY GROVE CREEK,1.75 MI NW REDMON,39.65652,-87.89131,STREAM
BER-03,SCATTERING FORK,4 MI N FILSON,39.7511111,-88.2319444,STREAM
BERB-01,HACKETT BRANCH,2 MI SE TUSCOLA TWP RD,39.76806,-88.24236,STREAM
BES-01,JORDAN SLOUGH,HENSON RD N VILLA GROVE,39.87477,-88.15091,STREAM
BET-01,EAST BRANCH,2 MI NW VILLA GROVE TWP RD,39.89404,-88.17948,STREAM
BEZB-07,INDIAN CREEK,RT 1 BR 1.5 MI S LAWRENCEVILLE,38.69245,-87.69367,STREAM
BEZF-01,ALLISON DITCH,2.25 MI E BILLETT CO RD #13 BR,38.66303,-87.60669,STREAM
BEZY-01,DEER CREEK,"CO RD 1775E, 2 MI N OF HINDSBORO",39.7108,-88.1395,STREAM
BEZZ-02,BRUSHY FORK,5 MI NE HINDSBORO TWP RD,39.73707,-88.06963,STREAM
BEZZ-05,BRUSHY FORK,4.3 MI SW OF NEWMAN,39.7633333,-88.0525,STREAM
BFB-13,LAMOTTE CREEK,RT 33 BR SE EDGE PALESTINE,38.995,-87.60756,STREAM
BFC-11,ROBINSON CREEK,"SR 1, 2.1 MI E ROBINSON AND 0.3 MI N OF GORDON",39.01296,-87.68484,STREAM
BG-01,RACCOON CREEK,0.75 MI S OF WEST YORK,39.1575,-87.6783333,STREAM
BH-05,MILL CREEK,2 MI SW HATTON,39.2669444,-87.6966667,STREAM
BJ-01,BIG CREEK,5 MI SE MARSHALL,39.35639,-87.60513,STREAM
BL-01,CLEAR CREEK,CO RD 2630E BR 1 MI N INTERSTATE 70 AT INDIANA STATE LINE,39.4494444,-87.53138889,STREAM
BM-01,SUGAR CREEK-NORTH,1 MI N ELBRIDGE,39.52905,-87.58295,STREAM
BN-04,BROUILLETTS CREEK,"3.8 MI W OF ST BERNICE, IN",39.7055556,-87.5947222,STREAM
BNB-01,CRABAPPLE CREEK,3 MI S AND 3.5 MI E OF CHRISMAN,39.7605556,-87.5925,STREAM
BNB-04,CRABAPPLE CREEK,2 MI SOUTH OF SCOTTLAND,39.7734167,-87.6060833,STREAM
BNBB-01,SALT FORK CRABAPPLE CREEK,"CO RD 950N, 7 MI SE OF CHRISMAN",39.7449,-87.5724,STREAM
BO-02,LITTLE VERMILION RIVER,3 MI ESE GEORGETOWN,39.96394,-87.57252,STREAM
BO-04,LITTLE VERMILION RIVER,"SE EDGE GEORGETOWN, FLIERMAN NATURE PRESERVE",39.96528,-87.62958,STREAM
BO-07,LITTLE VERMILION RIVER,CO RD 500 N BR 4.5 MI SE OF GEORGETOWN,39.94126,-87.55143,STREAM AMBIENT
BO-08,LITTLE VERMILION RIVER,CO RD 370N AT RR TRESTLE 0.75 MI NE SIDELL,39.92031,-87.80463,STREAM
BOB-01,YANKEE BRANCH,CO RD 500N BR 1.5 MI NW OF HUMRICK,39.94109444,-87.56575,STREAM
BOD-01,FAYETTE DRAIN,2 MI NE OF INDIANOLA,39.9511111,-87.7072222,STREAM
BOM-VG-A1,U-TRIB LITTLE VERMILION RIVER,75 FT UPSTREAM BLACK BEAUTY DISCHARGE ADJ TO 1400E,39.9366667,-87.6746111,STREAM FACILITY
BOM-VG-C1,U-TRIB LITTLE VERMILION RIVER,100 YDS DNS BLACK BEAUTY DISCHARGE,39.9377778,-87.6744444,STREAM FACILITY
BO-VG-C2,LITTLE VERMILION RIVER,100 YDS DNS CONFLUENCE WITH LITTLE VERMILION RIVER TRIB,39.944444,-87.6763888,STREAM FACILITY
BO-VG-D1,LITTLE VERMILION RIVER,100 FT UPS CONFLUENCE WITH LITTLE VERMILION RIVER TRIB,39.9442777,-87.6793888,STREAM FACILITY
BP-03,VERMILION RIVER,VERMILION COUNTY FOREST PARK CANOE LAUNCH 4MI E 0.5MI S WESTVILLE,40.0157,-87.54628,STREAM
BP-04,VERMILION RIVER,CO RD 1200E BR 2 MI N CATLIN,40.10243,-87.71567,STREAM
BP-09,VERMILION RIVER,"UPS OF DAM, 0.55 MI DNS OF CONFL WITH NORTH FORK",40.1222861,-87.6317528,STREAM
BP-10,VERMILION RIVER,"DNS OF DAM, 0.6 MI DNS OF CONFL W NORTH FORK",40.1207083,-87.6306111,STREAM
BPB-01,WHIPPORWILL BRANCH,CO RD 2100E BR 0.5 MI SE OF FOREST GLEN,39.9908639,-87.54221389,STREAM
BPE-03,GRAPE CREEK,TWIN HILLS RD BR 1.6 MI SE OF HEGLER,40.063425,-87.60665,STREAM
BPF-02,STONY CREEK,0.5 MI NE OF DANVILLE,40.186389,-87.59722,STREAM
BPG-09,NORTH FORK VERMILION RIVER,CO RD 2750 N 2 MI W BISMARCK,40.26549,-87.64306,STREAM AMBIENT
BPG-10,NORTH FORK VERMILION RIVER,US RT 136 BR 3 MI S HOOPESTON,40.41528,-87.68208,STREAM
BPG-12,NORTH FORK VERMILION RIVER,CO RD 4000N BR 1 MI SE HOOPESTON,40.444726,-87.662781,STREAM
BPGC-01,JORDAN CREEK,CO RD 1850E BR 3.5 MI NNE ALVIN,40.35567,-87.59791,STREAM
BPGC-02,JORDAN CREEK,CO RD 2100E 4 MI NE ALVIN,40.35417,-87.551393,STREAM
BPGE-01,MIDDLE BRANCH,0.75 MI W ALVIN,40.31078,-87.62259,STREAM
BPGE-02,MIDDLE BRANCH,3.4 MI E ROSSVILLE,40.37277,-87.60339,STREAM
BPJ-07,SALT FORK VERMILION RIVER,CO RD 1850N 2.5 MI N ST JOSEPH,40.14942,-88.03388,STREAM AMBIENT INACTIVE
BPJ-08,SALT FORK VERMILION RIVER,CO RD 1550 BR 3 MI WSW OF OAKWOOD,40.08826,-87.82503,STREAM
BPJ-09,SALT FORK VERMILION RIVER,CO RD 2200E 1.5 MI S OF ST JOSEPH,40.09174,-88.05079,STREAM
BPJ-12,SALT FORK VERMILION RIVER,CO RD 1200N 1.5 MI NW OF HOMER,40.05471,-87.98916,STREAM
BPJA-01,JORDAN CREEK,CO RD 630E 1.5 MI N FAIRMOUNT,40.06916,-87.82532,STREAM
BPJA-02,JORDAN CREEK,1 MI SSW OF FAIRMOUNT,40.0266667,-87.834444,STREAM
BPJB-03,STONY CREEK,CO RD 500E BR N EDGE OF MUNCIE,40.11808056,-87.844683,STREAM
BPJC-06,SALINE BRANCH,"CO RD 24 BR 1 MI N MAYVIEW, 4 MI E URBANA",40.13312,-88.10473,STREAM AMBIENT
BPJC-08,SALINE BRANCH,E FORD HARRIS RD 2 MI N URBANA AND 1 MI W US RT 45,40.17097,-88.20375,STREAM
BPJC-10,SALINE BRANCH,CO RD 1700N BR 2 MI WNW OF ST JOSEPH,40.12748889,-88.08,STREAM
BPJCA-02,BONEYARD CREEK,UPS OF GREGORY STREET BR IN URBANA,40.111019,-88.220525,STREAM
BPJCA-03,BONEYARD CREEK,DNS OF SPRINGFIELD AVE BR IN SCOTT PARK IN CHAMPAIGN,40.112208,-88.236808,STREAM
BPJCA-UC-D1,BONEYARD CREEK,DNS OF US 150 NEAR SYCAMORE STREET URBANA,40.1170055,-88.201375,STREAM FACILITY
BPJD-02,SPOON RIVER,CO RD 1950N 3.5 MI NNE ST JOSEPH,40.16411,-88.02736,STREAM
BPJG-01,UPPER SALT FORK DRAINAGE DITCH,CO RD 1900E BR 4 MI S AND 2 MI E RANTOUL,40.24513,-88.09747,STREAM
BPK-07,MIDDLE FORK VERMILION RIVER,CO RD 1855 N BR IN KICKAPOO ST PK 2 MI NE OF OAKWOOD,40.13684,-87.74571,STREAM AMBIENT
BPK-10,MIDDLE FORK VERMILION RIVER,CO RD 900E BR AT CANOE LAUNCH 2 MI ENE OF COLLISON,40.23517,-87.77201,STREAM
BPK-13,MIDDLE FORK VERMILION RIVER,CO RD 3500N BR 5 MI N PENFIELD,40.38508,-87.96425,STREAM
BPKA-01,GLENBURN CREEK,2.25 MI NE OAKWOOD IN ST PK,40.13877,-87.75367,STREAM
BPKF-02,KNIGHTS BRANCH,CO RD 2700N BR 2 MI NW OF COLLISON,40.255675,-87.82486944,STREAM
BPKI-02,BLUEGRASS CREEK,1.25 MI NW OF POTOMAC,40.32917,-87.8075,STREAM
BPKL-01,PRAIRIE CREEK,5 MI SE OF PAXTON CO LINE BR 3600N,40.400414,-88.02207,STREAM
BPKL-02,PRAIRIE CREEK,CO RD 2300E BR 6 MI N OF GIFFORD,40.38608056,-88.0260389,STREAM
BPKP-05,BIG FOUR DITCH,CO RD 500N BR 2 MI E ELLIOTT,40.47262,-88.2097,STREAM
BPZA-01,U-TRIB VERMILION RIVER,(AKA WILLOW CREEK) IN FOREST GLEN PARK BELOW LAKE,40.015425,-87.5742,STREAM
BZJ-01,CRAWFISH CREEK,"CO RD 1780E BR W OF 1200E, 4 MI N MOUNT CARMEL",38.47777778,-87.76027778,STREAM
BZK-01,RACCOON CREEK,4 MI WSW FRANCISVILLE ON CO RD 050N,38.57558,-87.72488,STREAM
BZO-01,HUTSON CREEK,2 MI S OF HUTSONVILLE,39.0850556,-87.66,STREAM
C-01,LITTLE WABASH RIVER,RT 141 N EDGE NEW HAVEN,37.91211,-88.12854,STREAM
C-02,LITTLE WABASH RIVER,WATER INTAKE NE EDGE CARMI,38.09904,-88.16136,STREAM
C-05,LITTLE WABASH RIVER,WATER INTAKE SE LOUISVILLE,38.77214,-88.4976,STREAM
C-09,LITTLE WABASH RIVER,SALEM MT ERIE RD BR 0.5 MI S BENNINGTON,38.51842,-88.13199,STREAM AMBIENT
C-11,LITTLE WABASH RIVER,2 MI SE LOUISVILLE ON FARM RD,38.75201,-88.48049,STREAM
C-12,LITTLE WABASH RIVER,RT 37 BR NE MASON,38.99043,-88.58782,STREAM
C-19,LITTLE WABASH RIVER,NE EDGE LOUISVILLE,38.77568,-88.49086,STREAM AMBIENT INACTIVE
C-21,LITTLE WABASH RIVER,RT 40 BR 2.2 MI SW EFFINGHAM,39.10399,-88.59393,STREAM AMBIENT
C-22,LITTLE WABASH RIVER,"WILCOX BRIDGE LN BR, 400 FT E OF GOLDENROD LN AND 4.5 MI SE OF CLAY CITY",38.63455,-88.29743,STREAM AMBIENT
C-24,LITTLE WABASH RIVER,1 MI S LAKE PARADISE DAM,39.39732,-88.44361,STREAM
C-25,LITTLE WABASH RIVER,0.1 MI UPS GREEN CR CONFL EFFINGHAM,39.14879,-88.57639,STREAM
C-33,LITTLE WABASH RIVER,6 MI WNW GRAYVILLE,38.26991,-88.1377,STREAM
CA-02,SKILLET FORK,4 MI ESE SPRINGERTON,38.16361,-88.28388,STREAM
CA-03,SKILLET FORK,"CR 1125 E BR, 0.3 MI S OF CR 1925 N AND 4 MI N OF CARMI",38.15473,-88.16407,STREAM AMBIENT INACTIVE
CA-06,SKILLET FORK,"SR 161 EXT (300N) BR, 1 MI E OF UNION TOWN AND 1 MI NW OF HELM",38.51944,-88.72713,STREAM AMBIENT INACTIVE
CA-07,SKILLET FORK,2 MI W CRISP AT FORD,38.43937,-88.62636,STREAM
CA-08,SKILLET FORK,2.5 MI SE IUKA AT FORD,38.58919,-88.7472,STREAM
CA-09,SKILLET FORK,2 MI E FORBES FISH HATCHERY,38.70823,-88.70305,STREAM
CAGB-01,BIG CREEK DITCH,ROUTE 242 BR 4 MI N MCLEANSBORO,38.16194444,-88.53888889,STREAM
CAGC-01,AUXIER CREEK,2 MI NW BELLE PRAIRIE CITY,38.2323,-88.51974,STREAM
CAGC-02,AUXIER CREEK,CO RD 2350E 1.5 MI NE OF BELLE RIVE,38.2456389,-88.7120278,STREAM
CAJ-01,DRY FORK,1.5 MI SE SIMS,38.34855,-88.50918,STREAM
CAJ-02,DRY FORK,CO RD 1100E 2.1 MI E OF SIMS,38.362667,-88.494722,STREAM
CAK-01,FOURMILE CREEK,CO RD 450N 1.6 MI S-SW OF KEENES,38.3155278,-88.658889,STREAM
CAN-01,HORSE CREEK,CO RD 200E BR 2.7 MI NNW KEENES,38.37659,-88.66236,STREAM
CAN-02,HORSE CREEK,CO RD 2050N 2.2 MI NE OF HARMONY,38.42525,-88.755611,STREAM
CAR-01,BRUSH CREEK,CO RD 1500N BR 3.3 MI NW CRISP,38.47579,-88.63467,STREAM
CAW-02,DUMS CREEK,"QUAIL RUN RD, 3.2 MI SSE BRUBAKER",38.63527778,-88.85138889,STREAM
CAW-04,DUMS CREEK,CO RD 2025E BR 2.5 MI NE IUKA,38.65378,-88.7673,STREAM
CD-01,ELM RIVER,"CR 2400 E AT PRICE BRIDGE, 0.3 MI N OF CR 1250 N AND 6.5 MI NE OF FAIRFIELD",38.44065,-88.2581,STREAM AMBIENT
CD-04,ELM RIVER,2 MI N ENTERPRISE,38.55826,-88.35528,STREAM
CD-08,ELM RIVER,CO RD 1800N BR 2 MI ESE ENTERPRISE,38.5114167,-88.3261111,STREAM
CD-09,ELM RIVER,"CO RD 2200N, 3.7 MI NNE OF ENTERPRISE",38.573611,-88.3680278,STREAM
CDB-01,DEER CREEK,"CO RD 1750E, 3.1 MI NE GEFF",38.481278,-88.3754167,STREAM
CDF-02,RACCOON CREEK,2.5 MI N RINARD,38.61161,-88.47175,STREAM
CE-02,VILLAGE CREEK,4 MI NNE GOLDEN GATE,38.4148889,-88.16575,STREAM
